,team,home_matches,away_matches,tot,home_win,away_win,home_draw,away_draw,home_loss,away_loss,home_win_penalty,home_loss_penalty,away_win_penalty,away_loss_penalty
0,Brazil,581,418,999,414,224,101,88,57,102,5,4,3,1
1,Argentina,557,439,996,366,168,115,117,68,145,5,3,6,3
2,Mexico,524,364,888,309,142,109,83,98,135,4,4,2,2
3,Germany,518,449,967,322,241,106,86,85,119,4,1,2,1
4,England,513,516,1029,320,267,106,128,82,115,1,4,2,4
5,Sweden,497,539,1036,290,220,104,118,102,198,0,1,3,0
6,France,493,364,857,285,143,97,78,107,139,2,2,1,3
7,South Korea,471,397,868,280,178,102,99,79,109,8,2,5,6
8,Hungary,464,484,948,260,183,103,106,100,195,1,0,0,0
9,Italy,456,364,820,287,151,115,100,49,104,3,2,4,5
10,United States,432,269,701,233,75,88,50,104,144,4,3,0,0
11,Austria,431,373,804,218,116,82,91,130,165,0,1,0,1
12,Netherlands,429,373,802,245,163,96,77,84,129,1,3,1,3
13,Belgium,422,364,786,224,122,81,84,116,157,1,0,1,0
14,Switzerland,414,401,815,182,105,89,84,139,210,0,4,1,1
15,Denmark,414,400,814,223,145,84,85,106,167,0,1,1,2
16,Norway,404,412,816,166,133,99,86,139,193,0,0,0,0
17,Chile,399,377,776,211,84,76,83,111,204,1,0,3,3
18,Poland,393,439,832,202,154,98,111,92,172,0,1,2,0
19,Scotland,387,408,795,218,158,82,89,87,161,0,0,0,0
20,Egypt,382,254,636,240,71,61,83,74,93,4,3,4,3
21,Japan,378,257,635,197,111,83,51,91,93,5,2,0,2
22,Saudi Arabia,375,256,631,212,92,78,59,83,102,2,0,3,0
23,Kenya,372,278,650,190,57,82,67,92,150,6,2,2,2
24,Spain,369,344,713,251,163,65,92,49,82,3,1,3,4
25,Uruguay,351,547,898,194,194,86,122,61,228,4,6,2,1
26,China PR,340,259,599,197,93,68,59,68,106,2,5,1,0
27,Malawi,338,236,574,147,53,95,57,89,118,1,6,2,6
28,Finland,336,425,761,110,87,65,89,159,249,0,2,0,0
29,Romania,335,371,706,191,118,72,106,70,146,1,1,0,1
30,Thailand,334,310,644,167,70,68,71,91,166,5,3,2,1
31,Indonesia,333,225,558,162,46,61,43,108,136,2,0,0,0
32,Kuwait,332,240,572,155,83,85,65,89,89,1,2,1,2
33,Portugal,332,298,630,190,115,82,62,57,119,1,2,2,0
34,Malaysia,331,275,606,146,65,86,60,98,147,1,0,1,2
35,Wales,330,343,673,128,88,82,63,120,192,0,0,0,0
36,Qatar,321,227,548,157,73,75,49,87,102,2,0,0,3
37,Northern Ireland,317,339,656,106,61,70,80,141,198,0,0,0,0
38,Republic of Ireland,315,263,578,145,76,86,78,83,108,1,0,0,1
39,Trinidad and Tobago,310,366,676,175,118,61,78,71,169,2,1,0,1
40,Costa Rica,309,309,618,181,80,73,75,51,149,2,2,0,5
41,Zambia,307,428,735,168,167,77,97,51,155,6,5,4,5
42,Russia,307,403,710,187,175,65,114,50,112,2,3,0,2
43,Tunisia,305,283,588,169,79,77,84,56,115,3,0,2,3
44,Bulgaria,305,380,685,149,102,70,100,86,177,0,0,1,0
45,United Arab Emirates,302,229,531,150,66,70,52,79,106,2,1,2,3
46,Bahrain,298,202,500,120,51,83,56,93,94,2,0,1,0
47,Algeria,296,217,513,165,55,64,67,59,93,4,4,2,0
48,Australia,296,225,521,168,93,54,53,72,76,2,0,0,3
49,Singapore,295,265,560,114,54,57,49,123,160,0,1,1,1
50,Greece,295,282,577,134,80,68,77,93,124,0,0,0,1
51,Jamaica,290,282,572,142,82,69,59,78,140,0,1,0,1
52,Uganda,289,338,627,164,102,70,83,52,140,1,2,5,8
53,Ghana,288,318,606,177,111,68,84,39,118,2,2,1,4
54,Morocco,288,253,541,173,78,63,89,47,83,1,4,1,2
55,El Salvador,288,226,514,130,44,61,50,97,131,0,0,0,1
56,Peru,287,353,640,127,77,58,93,100,181,1,1,1,1
57,Iran,284,222,506,181,98,51,61,42,57,4,6,2,4
58,Turkey,281,303,584,127,98,70,73,84,131,0,0,1,0
59,Iraq,278,279,557,162,95,67,85,44,95,5,0,3,1
60,Ivory Coast,275,296,571,176,108,58,74,35,107,2,4,4,3
61,Honduras,274,252,526,143,69,68,66,61,112,2,0,2,3
62,Oman,273,185,458,121,51,71,41,81,91,0,0,1,1
63,Nigeria,272,311,583,171,98,62,94,34,112,3,2,4,3
64,Paraguay,268,461,729,131,128,68,115,64,212,3,2,2,4
65,Colombia,267,297,564,131,87,56,88,75,115,2,3,5,2
66,Tanzania,266,270,536,103,45,76,72,82,152,3,2,0,1
67,Cameroon,259,281,540,148,85,64,96,45,92,0,2,6,2
68,Israel,248,191,439,101,52,64,41,83,97,0,0,1,0
69,Hong Kong,246,146,392,91,36,58,26,95,83,0,2,1,0
70,Estonia,246,248,494,75,48,61,47,110,151,0,0,0,2
71,Guatemala,244,212,456,114,47,61,53,66,112,2,1,0,0
72,India,241,168,409,92,49,53,35,92,84,1,3,0,0
73,Bolivia,241,231,472,85,19,64,49,92,162,0,0,0,1
74,Ecuador,240,287,527,104,53,61,67,74,166,0,1,1,0
75,South Africa,240,178,418,123,62,59,39,45,69,5,8,4,4
76,Haiti,232,227,459,110,82,56,44,65,100,1,0,0,1
77,Czechoslovakia,230,267,497,139,84,50,61,40,121,1,0,1,0
78,Luxembourg,229,186,415,26,12,35,17,168,157,0,0,0,0
79,Senegal,228,312,540,135,103,52,85,37,119,3,1,2,3
80,Malta,226,184,410,38,13,47,24,141,147,0,0,0,0
81,Mali,219,286,505,122,78,51,64,40,135,4,2,3,6
82,Burma,217,124,341,119,32,37,23,61,69,0,0,0,0
83,Jordan,217,189,406,95,48,68,50,52,90,0,2,0,1
84,Ethiopia,216,150,366,101,33,51,23,58,94,5,1,0,0
85,Iceland,213,247,460,82,61,42,44,89,142,0,0,0,0
86,Cyprus,209,166,375,56,15,42,18,109,133,2,0,0,0
87,Panama,203,240,443,91,49,55,50,56,138,1,0,2,1
88,Guinea,201,272,473,114,59,48,80,38,126,1,0,5,2
89,Latvia,197,213,410,72,45,45,48,79,117,1,0,2,1
90,DR Congo,195,273,468,109,74,40,82,45,112,1,0,2,3
91,Zimbabwe,192,274,466,100,91,48,68,39,107,3,2,4,4
92,Congo,192,187,379,88,42,50,47,53,98,0,1,0,0
93,Yugoslavia,190,291,481,108,115,36,61,45,115,0,1,0,0
94,Libya,187,154,341,100,23,48,37,38,94,0,1,0,0
95,Gabon,187,175,362,85,41,56,40,42,89,0,4,3,2
96,Burkina Faso,187,207,394,87,39,51,49,44,115,3,2,2,2
