,team,home_matches,away_matches,tot,win,draw,loss
0,Brazil,581,418,999,646,189,164
1,Argentina,557,439,996,545,232,219
2,Mexico,524,364,888,457,192,239
3,Germany,518,449,967,569,192,206
4,England,513,516,1029,590,234,205
5,Sweden,497,539,1036,513,222,301
6,France,493,364,857,431,175,251
7,South Korea,471,397,868,471,201,196
8,Hungary,464,484,948,444,209,295
9,Italy,456,364,820,445,215,160
10,United States,432,269,701,312,138,251
11,Austria,431,373,804,334,173,297
12,Netherlands,429,373,802,410,173,219
13,Belgium,422,364,786,348,165,273
14,Switzerland,414,401,815,288,173,354
15,Denmark,414,400,814,369,169,276
16,Norway,404,412,816,299,185,332
17,Chile,399,377,776,299,159,318
18,Poland,393,439,832,358,209,265
19,Scotland,387,408,795,376,171,248
20,Egypt,382,254,636,319,144,173
21,Japan,378,257,635,313,134,188
22,Saudi Arabia,375,256,631,309,137,185
23,Kenya,372,278,650,255,149,246
24,Spain,369,344,713,420,157,136
25,Uruguay,351,547,898,394,208,296
26,China PR,340,259,599,293,127,179
27,Malawi,338,236,574,203,152,219
28,Finland,336,425,761,197,154,410
29,Romania,335,371,706,310,178,218
30,Thailand,334,310,644,244,139,261
31,Indonesia,333,225,558,210,104,244
32,Kuwait,332,240,572,240,150,182
33,Portugal,332,298,630,308,144,178
34,Malaysia,331,275,606,213,146,247
35,Wales,330,343,673,216,145,312
36,Qatar,321,227,548,232,124,192
37,Northern Ireland,317,339,656,167,150,339
38,Republic of Ireland,315,263,578,222,164,192
39,Trinidad and Tobago,310,366,676,295,139,242
40,Costa Rica,309,309,618,263,148,207
41,Zambia,307,428,735,345,174,216
42,Russia,307,403,710,364,179,167
43,Tunisia,305,283,588,253,161,174
44,Bulgaria,305,380,685,252,170,263
45,United Arab Emirates,302,229,531,220,122,189
46,Bahrain,298,202,500,174,139,187
47,Algeria,296,217,513,226,131,156
48,Australia,296,225,521,263,107,151
49,Singapore,295,265,560,169,106,285
50,Greece,295,282,577,214,145,218
51,Jamaica,290,282,572,224,128,220
52,Uganda,289,338,627,272,153,202
53,Ghana,288,318,606,291,152,163
54,Morocco,288,253,541,253,152,136
55,El Salvador,288,226,514,174,111,229
56,Peru,287,353,640,206,151,283
57,Iran,284,222,506,285,112,109
58,Turkey,281,303,584,226,143,215
59,Iraq,278,279,557,265,152,140
60,Ivory Coast,275,296,571,290,132,149
61,Honduras,274,252,526,216,134,176
62,Oman,273,185,458,173,112,173
63,Nigeria,272,311,583,276,156,151
64,Paraguay,268,461,729,264,183,282
65,Colombia,267,297,564,225,144,195
66,Tanzania,266,270,536,151,148,237
67,Cameroon,259,281,540,239,160,141
68,Israel,248,191,439,154,105,180
69,Hong Kong,246,146,392,128,84,180
70,Estonia,246,248,494,123,108,263
71,Guatemala,244,212,456,163,114,179
72,India,241,168,409,142,88,179
73,Bolivia,241,231,472,104,113,255
74,Ecuador,240,287,527,158,128,241
75,South Africa,240,178,418,194,98,126
76,Haiti,232,227,459,193,100,166
77,Czechoslovakia,230,267,497,225,111,161
78,Luxembourg,229,186,415,38,52,325
79,Senegal,228,312,540,243,137,160
80,Malta,226,184,410,51,71,288
81,Mali,219,286,505,207,115,183
82,Burma,217,124,341,151,60,130
83,Jordan,217,189,406,143,118,145
84,Ethiopia,216,150,366,139,74,153
85,Iceland,213,247,460,143,86,231
86,Cyprus,209,166,375,73,60,242
87,Panama,203,240,443,143,105,195
88,Guinea,201,272,473,179,128,166
89,Latvia,197,213,410,120,93,197
90,DR Congo,195,273,468,186,122,160
91,Zimbabwe,192,274,466,198,116,152
92,Congo,192,187,379,130,97,152
93,Yugoslavia,190,291,481,223,97,161
94,Libya,187,154,341,123,85,133
95,Gabon,187,175,362,129,96,137
96,Burkina Faso,187,207,394,131,100,163
97,Albania,180,164,344,90,72,182
98,Angola,175,187,362,130,119,113
99,Canada,175,217,392,144,85,163
100,Sudan,174,230,404,137,99,168
101,Venezuela,169,224,393,94,88,211
102,Croatia,162,174,336,179,83,74
103,Barbados,162,106,268,90,60,118
104,Curaçao,162,176,338,125,89,124
105,Lithuania,159,222,381,104,71,206
106,Suriname,158,197,355,157,80,118
107,Botswana,157,131,288,85,73,130
108,Togo,156,235,391,122,99,170
109,Martinique,153,154,307,144,72,91
110,Mozambique,152,168,320,110,72,138
111,Czech Republic,151,164,315,170,59,86
112,Syria,148,263,411,156,94,161
113,Fiji,146,75,221,98,38,85
114,New Zealand,145,217,362,147,62,153
115,Cuba,142,200,342,118,77,147
116,Ukraine,142,144,286,130,77,79
117,Guyana,140,129,269,82,54,133
118,Slovakia,139,166,305,123,72,110
119,Lebanon,139,141,280,77,79,124
120,Liberia,136,114,250,69,57,124
121,Benin,133,130,263,63,64,136
122,New Caledonia,133,94,227,121,26,80
123,German DR,132,166,298,140,66,92
124,Lesotho,132,125,257,52,70,135
125,Rwanda,131,117,248,87,59,102
126,Slovenia,128,132,260,93,63,104
127,Cambodia,127,101,228,48,29,151
128,Guadeloupe,127,114,241,100,43,98
129,North Korea,126,214,340,147,87,106
130,North Macedonia,125,126,251,74,63,114
131,Uzbekistan,125,159,284,124,56,104
132,Gambia,124,95,219,55,63,101
133,Azerbaijan,121,137,258,49,69,140
134,Belarus,121,141,262,81,64,117
135,Vietnam,120,86,206,85,47,74
136,Bangladesh,120,96,216,52,44,120
137,Faroe Islands,119,118,237,44,27,166
138,Eswatini,119,120,239,53,63,123
139,Madagascar,119,108,227,87,44,96
140,Georgia,114,138,252,75,54,123
141,Serbia,112,175,287,128,74,85
142,Namibia,111,129,240,69,55,116
143,Bosnia and Herzegovina,111,121,232,88,53,91
144,Antigua and Barbuda,111,89,200,66,37,97
145,Sierra Leone,109,147,256,80,58,118
146,Grenada,109,110,219,77,46,96
147,Armenia,109,112,221,57,45,119
148,Mauritius,107,143,250,69,50,131
149,Moldova,106,141,247,46,59,142
150,Saint Kitts and Nevis,106,79,185,74,32,79
151,Philippines,103,132,235,66,40,129
152,Yemen,102,128,230,45,43,142
153,Liechtenstein,100,109,209,17,27,165
154,Niger,99,113,212,50,50,112
155,Dominica,99,87,186,44,39,103
156,Kazakhstan,97,111,208,50,49,109
157,Tahiti,94,116,210,109,28,73
158,Cape Verde,92,79,171,61,38,72
159,Mauritania,92,126,218,41,54,123
160,Sri Lanka,92,111,203,41,34,128
161,Saint Lucia,92,107,199,66,30,103
162,Nepal,91,95,186,40,31,115
163,Bermuda,91,67,158,56,27,75
