,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year,continent
0,Scotland,England,0.0,0.0,Friendly,Scotland,False,Draw,1872,Europe
1,England,Scotland,4.0,2.0,Friendly,England,False,Home,1873,Europe
2,Scotland,England,2.0,1.0,Friendly,Scotland,False,Home,1874,Europe
3,England,Scotland,2.0,2.0,Friendly,England,False,Draw,1875,Europe
4,Scotland,England,3.0,0.0,Friendly,Scotland,False,Home,1876,Europe
5,Scotland,Wales,4.0,0.0,Friendly,Scotland,False,Home,1876,Europe
6,England,Scotland,1.0,3.0,Friendly,England,False,Away,1877,Europe
7,Wales,Scotland,0.0,2.0,Friendly,Wales,False,Away,1877,Europe
8,Scotland,England,7.0,2.0,Friendly,Scotland,False,Home,1878,Europe
9,Scotland,Wales,9.0,0.0,Friendly,Scotland,False,Home,1878,Europe
10,England,Wales,2.0,1.0,Friendly,England,False,Home,1879,Europe
11,England,Scotland,5.0,4.0,Friendly,England,False,Home,1879,Europe
12,Wales,Scotland,0.0,3.0,Friendly,Wales,False,Away,1879,Europe
13,Scotland,England,5.0,4.0,Friendly,Scotland,False,Home,1880,Europe
14,Wales,England,2.0,3.0,Friendly,Wales,False,Away,1880,Europe
15,Scotland,Wales,5.0,1.0,Friendly,Scotland,False,Home,1880,Europe
16,England,Wales,0.0,1.0,Friendly,England,False,Away,1881,Europe
17,England,Scotland,1.0,6.0,Friendly,England,False,Away,1881,Europe
18,Wales,Scotland,1.0,5.0,Friendly,Wales,False,Away,1881,Europe
19,Northern Ireland,England,0.0,13.0,Friendly,Republic of Ireland,False,Away,1882,Europe
20,Wales,Northern Ireland,7.0,1.0,Friendly,Wales,False,Home,1882,Europe
21,Scotland,England,5.0,1.0,Friendly,Scotland,False,Home,1882,Europe
22,Wales,England,5.0,3.0,Friendly,Wales,False,Home,1882,Europe
23,Scotland,Wales,5.0,0.0,Friendly,Scotland,False,Home,1882,Europe
24,England,Wales,5.0,0.0,Friendly,England,False,Home,1883,Europe
25,England,Northern Ireland,7.0,0.0,Friendly,England,False,Home,1883,Europe
26,England,Scotland,2.0,3.0,Friendly,England,False,Away,1883,Europe
27,Wales,Scotland,0.0,3.0,Friendly,Wales,False,Away,1883,Europe
28,Northern Ireland,Wales,1.0,1.0,Friendly,Republic of Ireland,False,Draw,1883,Europe
29,Northern Ireland,Scotland,0.0,5.0,British Championship,Republic of Ireland,False,Away,1884,Europe
30,Wales,Northern Ireland,6.0,0.0,British Championship,Wales,False,Home,1884,Europe
31,Northern Ireland,England,1.0,8.0,British Championship,Republic of Ireland,False,Away,1884,Europe
32,Scotland,England,1.0,0.0,British Championship,Scotland,False,Home,1884,Europe
