home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,day_of_week,month,year,date,match_id
Malawi,Zimbabwe,1,0,Friendly,Blantyre,Malawi,False,H,Saturday,January,1998,1998-01-03,21031.0
Barbados,Trinidad and Tobago,0,1,Friendly,Bridgetown,Barbados,False,A,Sunday,January,1998,1998-01-04,21032.0
Burkina Faso,Mozambique,1,0,Friendly,Bobo Dioulasso,Burkina Faso,False,H,Sunday,January,1998,1998-01-04,21033.0
Guinea,Togo,1,0,Friendly,Conakry,Guinea,False,H,Sunday,January,1998,1998-01-04,21034.0
Malawi,Zimbabwe,0,2,Friendly,Lilongwe,Malawi,False,A,Sunday,January,1998,1998-01-04,21035.0
Burkina Faso,Mozambique,4,2,Friendly,Ouagadougou,Burkina Faso,False,H,Wednesday,January,1998,1998-01-07,21036.0
Trinidad and Tobago,Jamaica,0,0,Friendly,Port of Spain,Trinidad and Tobago,False,D,Wednesday,January,1998,1998-01-07,21037.0
Malawi,Zambia,0,1,COSAFA Cup qualification,Blantyre,Malawi,False,A,Saturday,January,1998,1998-01-10,21038.0
Eswatini,Botswana,1,1,Friendly,Mbabane,Eswatini,False,D,Saturday,January,1998,1998-01-10,21039.0
Burkina Faso,Mali,0,0,Friendly,Ouagadougou,Burkina Faso,False,D,Sunday,January,1998,1998-01-11,21040.0
Togo,Mozambique,1,2,Friendly,Lomé,Togo,False,A,Sunday,January,1998,1998-01-11,21041.0
Lesotho,Botswana,0,0,Friendly,Maseru,Lesotho,False,D,Monday,January,1998,1998-01-12,21042.0
Ghana,Mozambique,0,0,Friendly,Accra,Ghana,False,D,Wednesday,January,1998,1998-01-14,21043.0
Morocco,Angola,2,1,Friendly,Casablanca,Morocco,False,H,Wednesday,January,1998,1998-01-14,21044.0
Gambia,Zambia,0,2,Friendly,Banjul,Gambia,False,A,Friday,January,1998,1998-01-16,21045.0
Lesotho,Zimbabwe,0,2,COSAFA Cup qualification,Maseru,Lesotho,False,A,Sunday,January,1998,1998-01-18,21046.0
