home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,day_of_week,month,year
Scotland,England,0,0,Friendly,Glasgow,Scotland,False,D,Saturday,November,1872
England,Scotland,4,2,Friendly,London,England,False,H,Saturday,March,1873
Scotland,England,2,1,Friendly,Glasgow,Scotland,False,H,Saturday,March,1874
England,Scotland,2,2,Friendly,London,England,False,D,Saturday,March,1875
Scotland,England,3,0,Friendly,Glasgow,Scotland,False,H,Saturday,March,1876
Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,H,Saturday,March,1876
England,Scotland,1,3,Friendly,London,England,False,A,Saturday,March,1877
Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,A,Monday,March,1877
Scotland,England,7,2,Friendly,Glasgow,Scotland,False,H,Saturday,March,1878
Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,H,Saturday,March,1878
England,Wales,2,1,Friendly,London,England,False,H,Saturday,January,1879
England,Scotland,5,4,Friendly,London,England,False,H,Saturday,April,1879
Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,A,Monday,April,1879
Scotland,England,5,4,Friendly,Glasgow,Scotland,False,H,Saturday,March,1880
Wales,England,2,3,Friendly,Wrexham,Wales,False,A,Monday,March,1880
Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,H,Saturday,March,1880
England,Wales,0,1,Friendly,Blackburn,England,False,A,Saturday,February,1881
England,Scotland,1,6,Friendly,London,England,False,A,Saturday,March,1881
Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,A,Monday,March,1881
Northern Ireland,England,0,13,Friendly,Belfast,Republic of Ireland,False,A,Saturday,February,1882
Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False,H,Saturday,February,1882
Scotland,England,5,1,Friendly,Glasgow,Scotland,False,H,Saturday,March,1882
Wales,England,5,3,Friendly,Wrexham,Wales,False,H,Monday,March,1882
Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False,H,Saturday,March,1882
England,Wales,5,0,Friendly,London,England,False,H,Saturday,February,1883
England,Northern Ireland,7,0,Friendly,Liverpool,England,False,H,Saturday,February,1883
England,Scotland,2,3,Friendly,Sheffield,England,False,A,Saturday,March,1883
Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,A,Monday,March,1883
Northern Ireland,Wales,1,1,Friendly,Belfast,Republic of Ireland,False,D,Saturday,March,1883
Northern Ireland,Scotland,0,5,British Championship,Belfast,Republic of Ireland,False,A,Saturday,January,1884
Wales,Northern Ireland,6,0,British Championship,Wrexham,Wales,False,H,Saturday,February,1884
Northern Ireland,England,1,8,British Championship,Belfast,Republic of Ireland,False,A,Saturday,February,1884
Scotland,England,1,0,British Championship,Glasgow,Scotland,False,H,Saturday,March,1884
Wales,England,0,4,British Championship,Wrexham,Wales,False,A,Monday,March,1884
Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False,H,Saturday,March,1884
England,Northern Ireland,4,0,British Championship,Manchester,England,False,H,Saturday,February,1885
England,Wales,1,1,British Championship,Blackburn,England,False,D,Saturday,March,1885
Scotland,Northern Ireland,8,2,British Championship,Glasgow,Scotland,False,H,Saturday,March,1885
England,Scotland,1,1,British Championship,London,England,False,D,Saturday,March,1885
Wales,Scotland,1,8,British Championship,Wrexham,Wales,False,A,Monday,March,1885
Northern Ireland,Wales,2,8,British Championship,Belfast,Republic of Ireland,False,A,Saturday,April,1885
United States,Canada,0,1,Friendly,Newark,United States,False,A,Saturday,November,1885
Wales,Northern Ireland,5,0,British Championship,Wrexham,Wales,False,H,Saturday,February,1886
Northern Ireland,England,1,6,British Championship,Belfast,Republic of Ireland,False,A,Saturday,March,1886
Northern Ireland,Scotland,2,7,British Championship,Belfast,Republic of Ireland,False,A,Saturday,March,1886
Scotland,England,1,1,British Championship,Glasgow,Scotland,False,D,Saturday,March,1886
Wales,England,1,3,British Championship,Wrexham,Wales,False,A,Monday,March,1886
Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False,H,Saturday,April,1886
United States,Canada,3,2,Friendly,Newark,United States,False,H,Thursday,November,1886
England,Northern Ireland,7,0,British Championship,Sheffield,England,False,H,Saturday,February,1887
Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,False,H,Saturday,February,1887
England,Wales,4,0,British Championship,London,England,False,H,Saturday,February,1887
Northern Ireland,Wales,4,1,British Championship,Belfast,Republic of Ireland,False,H,Saturday,March,1887
England,Scotland,2,3,British Championship,Blackburn,England,False,A,Saturday,March,1887
Wales,Scotland,0,2,British Championship,Wrexham,Wales,False,A,Monday,March,1887
England,Wales,5,1,British Championship,Crewe,England,False,H,Saturday,February,1888
Wales,Northern Ireland,11,0,British Championship,Wrexham,Wales,False,H,Saturday,March,1888
Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,False,H,Saturday,March,1888
Scotland,England,0,5,British Championship,Glasgow,Scotland,False,A,Saturday,March,1888
Northern Ireland,Scotland,2,10,British Championship,Belfast,Republic of Ireland,False,A,Saturday,March,1888
Northern Ireland,England,1,5,British Championship,Belfast,Republic of Ireland,False,A,Saturday,April,1888
Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False,H,Wednesday,September,1888
England,Wales,4,1,British Championship,Stoke-on-Trent,England,False,H,Saturday,February,1889
England,Northern Ireland,6,1,British Championship,Liverpool,England,False,H,Saturday,March,1889
Scotland,Northern Ireland,7,0,British Championship,Glasgow,Scotland,False,H,Saturday,March,1889
England,Scotland,2,3,British Championship,London,England,False,A,Saturday,April,1889
Wales,Scotland,0,0,British Championship,Wrexham,Wales,False,D,Monday,April,1889
Northern Ireland,Wales,1,3,British Championship,Belfast,Republic of Ireland,False,A,Saturday,April,1889
Wales,Northern Ireland,5,2,British Championship,Shrewsbury,England,True,H,Saturday,February,1890
Northern Ireland,England,1,9,British Championship,Belfast,Republic of Ireland,False,A,Saturday,March,1890
Wales,England,1,3,British Championship,Wrexham,Wales,False,A,Saturday,March,1890
Scotland,Wales,5,0,British Championship,Paisley,Scotland,False,H,Saturday,March,1890
Northern Ireland,Scotland,1,4,British Championship,Belfast,Republic of Ireland,False,A,Saturday,March,1890
Scotland,England,1,1,British Championship,Glasgow,Scotland,False,D,Saturday,April,1890
Northern Ireland,Wales,7,2,British Championship,Belfast,Republic of Ireland,False,H,Saturday,February,1891
England,Wales,4,1,British Championship,Sunderland,England,False,H,Saturday,March,1891
England,Northern Ireland,6,1,British Championship,Wolverhampton,England,False,H,Saturday,March,1891
Wales,Scotland,3,4,British Championship,Wrexham,Wales,False,A,Saturday,March,1891
Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,False,H,Saturday,March,1891
England,Scotland,2,1,British Championship,Blackburn,England,False,H,Monday,April,1891
Wales,Northern Ireland,1,1,British Championship,Bangor,Wales,False,D,Saturday,February,1892
Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,False,A,Saturday,March,1892
Wales,England,0,2,British Championship,Wrexham,Wales,False,A,Saturday,March,1892
Northern Ireland,Scotland,2,3,British Championship,Belfast,Republic of Ireland,False,A,Saturday,March,1892
Scotland,Wales,6,1,British Championship,Edinburgh,Scotland,False,H,Saturday,March,1892
Scotland,England,1,4,British Championship,Glasgow,Scotland,False,A,Saturday,April,1892
England,Northern Ireland,6,1,British Championship,Birmingham,England,False,H,Saturday,February,1893
England,Wales,6,0,British Championship,Stoke-on-Trent,England,False,H,Monday,March,1893
Wales,Scotland,0,8,British Championship,Wrexham,Wales,False,A,Saturday,March,1893
Scotland,Northern Ireland,6,1,British Championship,Glasgow,Scotland,False,H,Saturday,March,1893
England,Scotland,5,2,British Championship,Richmond,England,False,H,Saturday,April,1893
Wales,Northern Ireland,4,1,British Championship,Swansea,Wales,False,H,Saturday,February,1894
Northern Ireland,England,2,2,British Championship,Belfast,Republic of Ireland,False,D,Saturday,March,1894
Wales,England,1,5,British Championship,Wrexham,Wales,False,A,Monday,March,1894
Scotland,Wales,5,2,British Championship,Kilmarnock,Scotland,False,H,Saturday,March,1894
Northern Ireland,Scotland,1,2,British Championship,Belfast,Republic of Ireland,False,A,Saturday,March,1894
Scotland,England,2,2,British Championship,Glasgow,Scotland,False,D,Saturday,April,1894
England,Northern Ireland,9,0,British Championship,Derby,England,False,H,Saturday,March,1895
Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,False,D,Saturday,March,1895
England,Wales,1,1,British Championship,London,England,False,D,Monday,March,1895
Wales,Scotland,2,2,British Championship,Wrexham,Wales,False,D,Saturday,March,1895
Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False,H,Saturday,March,1895
England,Scotland,3,0,British Championship,Liverpool,England,False,H,Saturday,April,1895
Wales,Northern Ireland,6,1,British Championship,Wrexham,Wales,False,H,Saturday,February,1896
Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,False,A,Saturday,March,1896
Wales,England,1,9,British Championship,Cardiff,Wales,False,A,Monday,March,1896
Scotland,Wales,4,0,British Championship,Dundee,Scotland,False,H,Saturday,March,1896
Northern Ireland,Scotland,3,3,British Championship,Belfast,Republic of Ireland,False,D,Saturday,March,1896
Scotland,England,2,1,British Championship,Glasgow,Scotland,False,H,Saturday,April,1896
England,Northern Ireland,6,0,British Championship,Nottingham,England,False,H,Saturday,February,1897
Northern Ireland,Wales,4,3,British Championship,Belfast,Republic of Ireland,False,H,Saturday,March,1897
