,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year
0,Scotland,England,0.0,0.0,Friendly,Scotland,False,Draw,1872
1,England,Scotland,4.0,2.0,Friendly,England,False,Home,1873
2,Scotland,England,2.0,1.0,Friendly,Scotland,False,Home,1874
3,England,Scotland,2.0,2.0,Friendly,England,False,Draw,1875
4,Scotland,England,3.0,0.0,Friendly,Scotland,False,Home,1876
5,Scotland,Wales,4.0,0.0,Friendly,Scotland,False,Home,1876
6,England,Scotland,1.0,3.0,Friendly,England,False,Away,1877
7,Wales,Scotland,0.0,2.0,Friendly,Wales,False,Away,1877
8,Scotland,England,7.0,2.0,Friendly,Scotland,False,Home,1878
9,Scotland,Wales,9.0,0.0,Friendly,Scotland,False,Home,1878
10,England,Wales,2.0,1.0,Friendly,England,False,Home,1879
11,England,Scotland,5.0,4.0,Friendly,England,False,Home,1879
12,Wales,Scotland,0.0,3.0,Friendly,Wales,False,Away,1879
13,Scotland,England,5.0,4.0,Friendly,Scotland,False,Home,1880
14,Wales,England,2.0,3.0,Friendly,Wales,False,Away,1880
15,Scotland,Wales,5.0,1.0,Friendly,Scotland,False,Home,1880
16,England,Wales,0.0,1.0,Friendly,England,False,Away,1881
17,England,Scotland,1.0,6.0,Friendly,England,False,Away,1881
18,Wales,Scotland,1.0,5.0,Friendly,Wales,False,Away,1881
19,Northern Ireland,England,0.0,13.0,Friendly,Republic of Ireland,False,Away,1882
20,Wales,Northern Ireland,7.0,1.0,Friendly,Wales,False,Home,1882
21,Scotland,England,5.0,1.0,Friendly,Scotland,False,Home,1882
22,Wales,England,5.0,3.0,Friendly,Wales,False,Home,1882
23,Scotland,Wales,5.0,0.0,Friendly,Scotland,False,Home,1882
24,England,Wales,5.0,0.0,Friendly,England,False,Home,1883
25,England,Northern Ireland,7.0,0.0,Friendly,England,False,Home,1883
26,England,Scotland,2.0,3.0,Friendly,England,False,Away,1883
27,Wales,Scotland,0.0,3.0,Friendly,Wales,False,Away,1883
28,Northern Ireland,Wales,1.0,1.0,Friendly,Republic of Ireland,False,Draw,1883
29,Northern Ireland,Scotland,0.0,5.0,British Championship,Republic of Ireland,False,Away,1884
30,Wales,Northern Ireland,6.0,0.0,British Championship,Wales,False,Home,1884
31,Northern Ireland,England,1.0,8.0,British Championship,Republic of Ireland,False,Away,1884
32,Scotland,England,1.0,0.0,British Championship,Scotland,False,Home,1884
33,Wales,England,0.0,4.0,British Championship,Wales,False,Away,1884
