,team,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded
2,Albania,344,23,8,10,5,24,29,160,58,64,38,180,184,161,24,108,29,115,321
4,Algeria,513,141,57,46,38,200,148,192,122,26,44,383,147,180,41,80,59,147,233
8,Angola,362,85,22,30,33,90,103,125,71,17,37,195,91,152,33,64,55,127,187
12,Argentina,996,273,164,53,56,578,290,336,221,31,84,718,259,387,149,129,109,556,492
17,Australia,521,116,60,31,25,255,129,217,122,54,41,508,240,188,79,63,46,295,203
18,Austria,804,45,14,22,9,57,71,401,207,116,78,806,519,358,113,157,88,561,667
21,Bahrain,500,195,67,74,54,240,248,179,74,52,53,263,184,126,30,61,35,117,199
24,Barbados,268,52,16,28,8,79,102,130,53,38,39,182,153,86,20,52,14,87,183
27,Belgium,786,71,32,24,15,109,90,379,203,103,73,794,508,336,111,146,79,495,610
32,Bolivia,472,127,10,85,32,80,306,164,77,42,45,281,193,181,17,127,37,129,420
35,Botswana,288,43,12,18,13,49,55,134,51,46,37,124,128,111,14,62,35,63,182
36,Brazil,999,330,219,56,55,752,300,348,254,23,71,879,265,321,165,80,76,555,338
40,Bulgaria,685,70,21,30,19,78,115,263,134,68,61,478,301,352,96,165,91,402,599
41,Burkina Faso,394,95,30,40,25,114,125,118,63,19,36,187,110,181,33,100,48,153,300
46,Cameroon,540,187,76,53,58,244,205,146,93,15,38,265,98,207,64,69,74,231,255
47,Canada,392,104,45,35,24,168,118,118,55,41,22,167,140,170,43,86,41,148,273
57,Chile,776,206,70,92,44,271,328,291,165,68,58,580,319,279,60,155,64,252,470
58,China PR,599,177,88,53,36,353,187,227,136,42,49,489,224,195,66,79,50,247,244
59,Colombia,564,202,82,69,51,253,268,159,83,41,35,241,140,203,53,80,70,198,260
61,Congo,379,73,32,27,14,101,93,145,68,36,41,221,148,161,30,88,43,155,276
65,Costa Rica,618,185,83,56,46,316,212,202,127,29,46,433,156,231,51,115,65,248,360
68,Croatia,336,58,26,19,13,87,67,134,89,13,32,289,101,144,60,41,43,205,178
71,Cyprus,375,7,1,4,2,4,12,208,56,108,44,228,350,160,14,130,16,93,457
72,Czech Republic,315,53,25,21,7,83,69,124,84,24,16,279,100,138,60,40,38,198,144
73,Czechoslovakia,497,45,16,20,9,64,65,194,122,27,45,484,223,258,85,114,59,369,402
74,Côte d'Ivoire,571,177,84,50,43,266,200,191,133,18,40,415,141,203,67,74,62,232,249
76,Denmark,814,67,26,24,17,93,89,380,213,92,75,843,458,367,129,157,81,523,571
81,Ecuador,527,174,37,91,46,196,338,167,89,37,41,288,175,186,31,112,43,161,347
82,Egypt,636,177,86,50,41,307,179,254,167,43,44,521,201,205,58,74,73,199,262
83,El Salvador,514,207,64,92,51,217,296,152,85,41,26,312,176,155,25,95,35,109,276
85,England,1029,108,42,33,33,151,112,461,298,63,100,1107,399,460,247,101,112,985,490
88,Estonia,494,50,11,24,15,55,96,210,69,89,52,247,291,234,43,148,43,193,489
90,Ethiopia,366,79,24,36,19,106,128,168,85,38,45,283,149,119,25,78,16,125,260
92,Faroe Islands,237,25,10,13,2,38,52,102,23,65,14,100,223,110,11,88,11,61,297
95,Finland,761,48,18,20,10,51,52,312,102,149,61,462,619,401,77,239,85,380,914
96,France,857,96,46,26,24,157,112,440,258,94,88,889,472,321,124,126,71,483,531
99,Gabon,362,84,25,28,31,101,101,153,75,30,48,213,114,125,26,73,26,105,194
104,Germany,967,151,84,34,33,288,182,426,267,71,88,1093,448,390,212,99,79,778,491
105,Ghana,606,193,93,50,50,274,186,174,113,16,45,379,126,239,82,91,66,328,308
109,Greece,577,59,18,29,12,56,94,264,125,79,60,397,303,254,71,109,74,259,401
114,Guatemala,456,169,56,64,49,228,226,152,80,35,37,283,159,135,25,79,31,119,231
