,team,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded,color,tot_wins,tot_losses,tot_draws,home_win_rate,away_win_rate,neutral_win_rate,tot_goal_scored,tot_goal_conceded,goal_scored_rate,goal_conceded_rate,home_goal_scored_rate,away_goal_scored_rate,neutral_goal_scored_rate,home_goal_conceded_rate,away_goal_conceded_rate,neutral_goal_conceded_rate
0,Albania,344,23,8,10,5,24,29,160,58,64,38,180,184,161,24,108,29,115,321,aliceblue,26.16279069767442,52.90697674418605,20.930232558139537,36.25,14.906832298136646,34.78260869565217,319,534,0.9273255813953488,1.552325581395349,1.125,1.1180124223602483,1.0434782608695652,1.15,1.1428571428571428,1.2608695652173914
1,Algeria,513,141,57,46,38,200,148,192,122,26,44,383,147,180,41,80,59,147,233,antiquewhite,42.8849902534113,29.629629629629626,27.485380116959064,63.541666666666664,22.77777777777778,40.42553191489361,730,528,1.4230019493177388,1.0292397660818713,1.9947916666666667,2.1277777777777778,1.4184397163120568,0.765625,0.8166666666666667,1.049645390070922
2,Angola,362,85,22,30,33,90,103,125,71,17,37,195,91,152,33,64,55,127,187,aqua,34.806629834254146,30.662983425414364,34.530386740331494,56.8,21.710526315789476,25.882352941176475,412,381,1.138121546961326,1.0524861878453038,1.56,1.2828947368421053,1.0588235294117647,0.728,0.5986842105263158,1.2117647058823529
3,Argentina,996,273,164,53,56,578,290,336,221,31,84,718,259,387,149,129,109,556,492,aquamarine,53.6144578313253,21.385542168674696,25.0,65.77380952380952,38.50129198966408,60.07326007326007,1852,1041,1.859437751004016,1.0451807228915662,2.136904761904762,1.855297157622739,2.1172161172161172,0.7708333333333334,0.6692506459948321,1.0622710622710623
4,Australia,521,116,60,31,25,255,129,217,122,54,41,508,240,188,79,63,46,295,203,azure,50.09596928982726,28.406909788867562,21.497120921305182,56.22119815668203,42.02127659574468,51.724137931034484,1058,572,2.0307101727447217,1.0978886756238004,2.3410138248847927,2.702127659574468,2.1982758620689653,1.1059907834101383,1.2765957446808511,1.1120689655172413
5,Austria,804,45,14,22,9,57,71,401,207,116,78,806,519,358,113,157,88,561,667,beige,41.54228855721393,36.691542288557216,21.766169154228855,51.6209476309227,31.564245810055862,31.11111111111111,1424,1257,1.771144278606965,1.5634328358208955,2.0099750623441395,2.2513966480446927,1.2666666666666666,1.2942643391521198,1.4497206703910615,1.5777777777777777
6,Bahrain,500,195,67,74,54,240,248,179,74,52,53,263,184,126,30,61,35,117,199,bisque,34.2,37.4,28.4,41.340782122905026,23.809523809523807,34.35897435897436,620,631,1.24,1.262,1.4692737430167597,2.0873015873015874,1.2307692307692308,1.0279329608938548,1.4603174603174602,1.2717948717948717
7,Barbados,268,52,16,28,8,79,102,130,53,38,39,182,153,86,20,52,14,87,183,black,33.2089552238806,44.02985074626866,22.761194029850746,40.76923076923077,23.25581395348837,30.76923076923077,348,438,1.2985074626865671,1.6343283582089552,1.4,2.116279069767442,1.5192307692307692,1.176923076923077,1.7790697674418605,1.9615384615384615
8,Belgium,786,71,32,24,15,109,90,379,203,103,73,794,508,336,111,146,79,495,610,blanchedalmond,44.02035623409669,34.73282442748092,21.246819338422394,53.562005277044854,33.035714285714285,45.07042253521127,1398,1208,1.7786259541984732,1.5368956743002544,2.094986807387863,2.363095238095238,1.5352112676056338,1.3403693931398417,1.5119047619047619,1.267605633802817
9,Bolivia,472,127,10,85,32,80,306,164,77,42,45,281,193,181,17,127,37,129,420,blue,22.033898305084744,53.813559322033896,24.152542372881356,46.95121951219512,9.392265193370166,7.874015748031496,490,919,1.0381355932203389,1.9470338983050848,1.7134146341463414,1.5524861878453038,0.6299212598425197,1.1768292682926829,1.0662983425414365,2.409448818897638
