,team,matches,wins,losses,draws,goal_scored,goal_conceded
1,Afghanistan,116.0,31.0,58.0,27.0,121.0,230.0
2,Albania,344.0,90.0,182.0,72.0,319.0,534.0
4,Algeria,513.0,220.0,152.0,141.0,730.0,528.0
5,American Samoa,48.0,5.0,41.0,2.0,36.0,306.0
7,Andorra,177.0,6.0,149.0,22.0,49.0,458.0
8,Angola,362.0,126.0,111.0,125.0,412.0,381.0
9,Anguilla,65.0,3.0,57.0,5.0,37.0,277.0
10,Antigua and Barbuda,200.0,64.0,97.0,39.0,280.0,354.0
12,Argentina,996.0,534.0,213.0,249.0,1852.0,1041.0
13,Armenia,221.0,57.0,118.0,46.0,229.0,378.0
15,Aruba,124.0,22.0,75.0,27.0,157.0,307.0
17,Australia,521.0,261.0,148.0,112.0,1058.0,572.0
18,Austria,804.0,334.0,295.0,175.0,1424.0,1257.0
19,Azerbaijan,258.0,49.0,140.0,69.0,188.0,423.0
20,Bahamas,41.0,11.0,23.0,7.0,48.0,125.0
21,Bahrain,500.0,171.0,187.0,142.0,620.0,631.0
22,Bangladesh,216.0,51.0,118.0,47.0,186.0,432.0
24,Barbados,268.0,89.0,118.0,61.0,348.0,438.0
26,Belarus,262.0,80.0,117.0,65.0,314.0,386.0
27,Belgium,786.0,346.0,273.0,167.0,1398.0,1208.0
28,Belize,82.0,19.0,51.0,12.0,88.0,167.0
29,Benin,263.0,60.0,136.0,67.0,271.0,478.0
30,Bermuda,158.0,56.0,75.0,27.0,272.0,261.0
31,Bhutan,81.0,8.0,68.0,5.0,48.0,323.0
32,Bolivia,472.0,104.0,254.0,114.0,490.0,919.0
34,Bosnia and Herzegovina,232.0,88.0,91.0,53.0,330.0,312.0
35,Botswana,288.0,77.0,126.0,85.0,236.0,365.0
36,Brazil,999.0,638.0,159.0,202.0,2186.0,903.0
37,British Virgin Islands,95.0,16.0,65.0,14.0,79.0,309.0
40,Bulgaria,685.0,251.0,263.0,171.0,958.0,1015.0
41,Burkina Faso,394.0,126.0,159.0,109.0,454.0,535.0
43,Burundi,191.0,59.0,84.0,48.0,204.0,245.0
44,Cabo Verde,171.0,61.0,72.0,38.0,178.0,201.0
45,Cambodia,228.0,48.0,149.0,31.0,253.0,608.0
46,Cameroon,540.0,233.0,137.0,170.0,740.0,558.0
47,Canada,392.0,143.0,162.0,87.0,483.0,531.0
51,Cayman Islands,95.0,19.0,61.0,15.0,94.0,241.0
52,Central African Republic,100.0,20.0,58.0,22.0,104.0,199.0
54,Chad,118.0,25.0,65.0,28.0,106.0,206.0
57,Chile,776.0,295.0,315.0,166.0,1103.0,1117.0
58,China PR,599.0,290.0,174.0,135.0,1089.0,655.0
59,Colombia,564.0,218.0,190.0,156.0,692.0,668.0
60,Comoros,63.0,9.0,34.0,20.0,40.0,96.0
61,Congo,379.0,130.0,151.0,98.0,477.0,517.0
62,Congo DR,468.0,183.0,157.0,128.0,704.0,581.0
63,Cook Islands,43.0,9.0,30.0,4.0,38.0,231.0
65,Costa Rica,618.0,261.0,200.0,157.0,997.0,728.0
68,Croatia,336.0,175.0,73.0,88.0,581.0,346.0
69,Cuba,342.0,117.0,144.0,81.0,449.0,514.0
70,Curaçao,338.0,125.0,124.0,89.0,543.0,538.0
71,Cyprus,375.0,71.0,242.0,62.0,325.0,819.0
72,Czech Republic,315.0,169.0,85.0,61.0,560.0,313.0
73,Czechoslovakia,497.0,223.0,161.0,113.0,917.0,690.0
74,Côte d'Ivoire,571.0,284.0,142.0,145.0,913.0,590.0
76,Denmark,814.0,368.0,273.0,173.0,1459.0,1118.0
77,Djibouti,90.0,5.0,78.0,7.0,61.0,334.0
78,Dominica,186.0,44.0,103.0,39.0,217.0,379.0
79,Dominican Republic,119.0,46.0,56.0,17.0,186.0,197.0
81,Ecuador,527.0,157.0,240.0,130.0,645.0,860.0
82,Egypt,636.0,311.0,167.0,158.0,1027.0,642.0
83,El Salvador,514.0,174.0,228.0,112.0,638.0,748.0
85,England,1029.0,587.0,197.0,245.0,2243.0,1001.0
86,Equatorial Guinea,132.0,30.0,73.0,29.0,110.0,210.0
87,Eritrea,72.0,11.0,45.0,16.0,48.0,126.0
88,Estonia,494.0,123.0,261.0,110.0,495.0,876.0
90,Ethiopia,366.0,134.0,152.0,80.0,514.0,537.0
92,Faroe Islands,237.0,44.0,166.0,27.0,199.0,572.0
94,Fiji,221.0,97.0,84.0,40.0,523.0,361.0
95,Finland,761.0,197.0,408.0,156.0,893.0,1585.0
96,France,857.0,428.0,246.0,183.0,1529.0,1115.0
99,Gabon,362.0,126.0,131.0,105.0,419.0,409.0
101,Gambia,219.0,54.0,100.0,65.0,203.0,305.0
102,Georgia,252.0,75.0,122.0,55.0,291.0,357.0
104,Germany,967.0,563.0,204.0,200.0,2159.0,1121.0
105,Ghana,606.0,288.0,157.0,161.0,981.0,620.0
106,Gibraltar,109.0,32.0,65.0,12.0,146.0,262.0
109,Greece,577.0,214.0,217.0,146.0,712.0,798.0
111,Grenada,219.0,77.0,96.0,46.0,374.0,400.0
113,Guam,101.0,23.0,69.0,9.0,122.0,484.0
114,Guatemala,456.0,161.0,178.0,117.0,630.0,616.0
116,Guinea,473.0,173.0,164.0,136.0,639.0,584.0
