,date,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year
0,1872-11-30,Scotland,England,0.0,0.0,Friendly,Scotland,False,Draw,1872
1,1873-03-08,England,Scotland,4.0,2.0,Friendly,England,False,Home,1873
2,1874-03-07,Scotland,England,2.0,1.0,Friendly,Scotland,False,Home,1874
3,1875-03-06,England,Scotland,2.0,2.0,Friendly,England,False,Draw,1875
4,1876-03-04,Scotland,England,3.0,0.0,Friendly,Scotland,False,Home,1876
5,1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Scotland,False,Home,1876
6,1877-03-03,England,Scotland,1.0,3.0,Friendly,England,False,Away,1877
7,1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wales,False,Away,1877
8,1878-03-02,Scotland,England,7.0,2.0,Friendly,Scotland,False,Home,1878
9,1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Scotland,False,Home,1878
10,1879-01-18,England,Wales,2.0,1.0,Friendly,England,False,Home,1879
11,1879-04-05,England,Scotland,5.0,4.0,Friendly,England,False,Home,1879
12,1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wales,False,Away,1879
13,1880-03-13,Scotland,England,5.0,4.0,Friendly,Scotland,False,Home,1880
14,1880-03-15,Wales,England,2.0,3.0,Friendly,Wales,False,Away,1880
15,1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Scotland,False,Home,1880
16,1881-02-26,England,Wales,0.0,1.0,Friendly,England,False,Away,1881
17,1881-03-12,England,Scotland,1.0,6.0,Friendly,England,False,Away,1881
18,1881-03-14,Wales,Scotland,1.0,5.0,Friendly,Wales,False,Away,1881
19,1882-02-18,Northern Ireland,England,0.0,13.0,Friendly,Republic of Ireland,False,Away,1882
20,1882-02-25,Wales,Northern Ireland,7.0,1.0,Friendly,Wales,False,Home,1882
21,1882-03-11,Scotland,England,5.0,1.0,Friendly,Scotland,False,Home,1882
22,1882-03-13,Wales,England,5.0,3.0,Friendly,Wales,False,Home,1882
23,1882-03-25,Scotland,Wales,5.0,0.0,Friendly,Scotland,False,Home,1882
24,1883-02-03,England,Wales,5.0,0.0,Friendly,England,False,Home,1883
25,1883-02-24,England,Northern Ireland,7.0,0.0,Friendly,England,False,Home,1883
26,1883-03-10,England,Scotland,2.0,3.0,Friendly,England,False,Away,1883
27,1883-03-12,Wales,Scotland,0.0,3.0,Friendly,Wales,False,Away,1883
28,1883-03-17,Northern Ireland,Wales,1.0,1.0,Friendly,Republic of Ireland,False,Draw,1883
29,1884-01-26,Northern Ireland,Scotland,0.0,5.0,British Championship,Republic of Ireland,False,Away,1884
30,1884-02-09,Wales,Northern Ireland,6.0,0.0,British Championship,Wales,False,Home,1884
31,1884-02-23,Northern Ireland,England,1.0,8.0,British Championship,Republic of Ireland,False,Away,1884
32,1884-03-15,Scotland,England,1.0,0.0,British Championship,Scotland,False,Home,1884
33,1884-03-17,Wales,England,0.0,4.0,British Championship,Wales,False,Away,1884
34,1884-03-29,Scotland,Wales,4.0,1.0,British Championship,Scotland,False,Home,1884
35,1885-02-28,England,Northern Ireland,4.0,0.0,British Championship,England,False,Home,1885
36,1885-03-14,England,Wales,1.0,1.0,British Championship,England,False,Draw,1885
37,1885-03-14,Scotland,Northern Ireland,8.0,2.0,British Championship,Scotland,False,Home,1885
38,1885-03-21,England,Scotland,1.0,1.0,British Championship,England,False,Draw,1885
39,1885-03-23,Wales,Scotland,1.0,8.0,British Championship,Wales,False,Away,1885
40,1885-04-11,Northern Ireland,Wales,2.0,8.0,British Championship,Republic of Ireland,False,Away,1885
41,1885-11-28,USA,Canada,0.0,1.0,Friendly,USA,False,Away,1885
42,1886-02-27,Wales,Northern Ireland,5.0,0.0,British Championship,Wales,False,Home,1886
43,1886-03-13,Northern Ireland,England,1.0,6.0,British Championship,Republic of Ireland,False,Away,1886
44,1886-03-20,Northern Ireland,Scotland,2.0,7.0,British Championship,Republic of Ireland,False,Away,1886
45,1886-03-27,Scotland,England,1.0,1.0,British Championship,Scotland,False,Draw,1886
46,1886-03-29,Wales,England,1.0,3.0,British Championship,Wales,False,Away,1886
47,1886-04-10,Scotland,Wales,4.0,1.0,British Championship,Scotland,False,Home,1886
48,1886-11-25,USA,Canada,3.0,2.0,Friendly,USA,False,Home,1886
49,1887-02-05,England,Northern Ireland,7.0,0.0,British Championship,England,False,Home,1887
50,1887-02-19,Scotland,Northern Ireland,4.0,1.0,British Championship,Scotland,False,Home,1887
51,1887-02-26,England,Wales,4.0,0.0,British Championship,England,False,Home,1887
52,1887-03-12,Northern Ireland,Wales,4.0,1.0,British Championship,Republic of Ireland,False,Home,1887
53,1887-03-19,England,Scotland,2.0,3.0,British Championship,England,False,Away,1887
54,1887-03-21,Wales,Scotland,0.0,2.0,British Championship,Wales,False,Away,1887
55,1888-02-04,England,Wales,5.0,1.0,British Championship,England,False,Home,1888
