,Unnamed: 0,date,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year,continent
0,0,1872-11-30,Scotland,England,0.0,0.0,Friendly,Scotland,False,Draw,1872,Europe
1,1,1873-03-08,England,Scotland,4.0,2.0,Friendly,England,False,Home,1873,Europe
2,2,1874-03-07,Scotland,England,2.0,1.0,Friendly,Scotland,False,Home,1874,Europe
3,3,1875-03-06,England,Scotland,2.0,2.0,Friendly,England,False,Draw,1875,Europe
4,4,1876-03-04,Scotland,England,3.0,0.0,Friendly,Scotland,False,Home,1876,Europe
5,5,1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Scotland,False,Home,1876,Europe
6,6,1877-03-03,England,Scotland,1.0,3.0,Friendly,England,False,Away,1877,Europe
7,7,1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wales,False,Away,1877,Europe
8,8,1878-03-02,Scotland,England,7.0,2.0,Friendly,Scotland,False,Home,1878,Europe
9,9,1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Scotland,False,Home,1878,Europe
10,10,1879-01-18,England,Wales,2.0,1.0,Friendly,England,False,Home,1879,Europe
11,11,1879-04-05,England,Scotland,5.0,4.0,Friendly,England,False,Home,1879,Europe
12,12,1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wales,False,Away,1879,Europe
13,13,1880-03-13,Scotland,England,5.0,4.0,Friendly,Scotland,False,Home,1880,Europe
14,14,1880-03-15,Wales,England,2.0,3.0,Friendly,Wales,False,Away,1880,Europe
15,15,1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Scotland,False,Home,1880,Europe
16,16,1881-02-26,England,Wales,0.0,1.0,Friendly,England,False,Away,1881,Europe
17,17,1881-03-12,England,Scotland,1.0,6.0,Friendly,England,False,Away,1881,Europe
18,18,1881-03-14,Wales,Scotland,1.0,5.0,Friendly,Wales,False,Away,1881,Europe
19,19,1882-02-18,Northern Ireland,England,0.0,13.0,Friendly,Republic of Ireland,False,Away,1882,Europe
20,20,1882-02-25,Wales,Northern Ireland,7.0,1.0,Friendly,Wales,False,Home,1882,Europe
21,21,1882-03-11,Scotland,England,5.0,1.0,Friendly,Scotland,False,Home,1882,Europe
22,22,1882-03-13,Wales,England,5.0,3.0,Friendly,Wales,False,Home,1882,Europe
23,23,1882-03-25,Scotland,Wales,5.0,0.0,Friendly,Scotland,False,Home,1882,Europe
24,24,1883-02-03,England,Wales,5.0,0.0,Friendly,England,False,Home,1883,Europe
25,25,1883-02-24,England,Northern Ireland,7.0,0.0,Friendly,England,False,Home,1883,Europe
26,26,1883-03-10,England,Scotland,2.0,3.0,Friendly,England,False,Away,1883,Europe
27,27,1883-03-12,Wales,Scotland,0.0,3.0,Friendly,Wales,False,Away,1883,Europe
28,28,1883-03-17,Northern Ireland,Wales,1.0,1.0,Friendly,Republic of Ireland,False,Draw,1883,Europe
29,29,1884-01-26,Northern Ireland,Scotland,0.0,5.0,British Championship,Republic of Ireland,False,Away,1884,Europe
30,30,1884-02-09,Wales,Northern Ireland,6.0,0.0,British Championship,Wales,False,Home,1884,Europe
31,31,1884-02-23,Northern Ireland,England,1.0,8.0,British Championship,Republic of Ireland,False,Away,1884,Europe
32,32,1884-03-15,Scotland,England,1.0,0.0,British Championship,Scotland,False,Home,1884,Europe
33,33,1884-03-17,Wales,England,0.0,4.0,British Championship,Wales,False,Away,1884,Europe
34,34,1884-03-29,Scotland,Wales,4.0,1.0,British Championship,Scotland,False,Home,1884,Europe
35,35,1885-02-28,England,Northern Ireland,4.0,0.0,British Championship,England,False,Home,1885,Europe
