,team,confederation,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded
1,Albania,UEFA,341,23,8,10,5,24,29,158,58,63,37,178,179,160,24,107,29,115,319
2,Algeria,CAF,508,140,56,46,38,196,147,190,122,25,43,381,143,178,41,78,59,145,223
5,Angola,CAF,348,85,22,30,33,90,103,120,67,17,36,181,89,143,29,62,52,118,180
8,Argentina,CONMEBOL,991,272,164,53,55,577,289,335,220,31,84,716,259,384,147,128,109,550,488
11,Australia,AFC,509,110,55,30,25,233,125,214,119,54,41,495,238,185,76,63,46,287,201
12,Austria,UEFA,798,45,14,22,9,57,71,398,206,116,76,801,517,355,113,156,86,559,664
15,Bahrain,AFC,488,190,63,73,54,232,243,175,71,53,51,246,184,123,28,60,35,110,195
17,Barbados,CONCACAF,235,41,14,22,5,64,81,114,47,33,34,156,132,80,19,47,14,81,170
19,Belgium,UEFA,778,71,32,24,15,109,90,375,201,101,73,788,503,332,110,145,77,493,608
24,Bolivia,CONMEBOL,469,127,10,85,32,80,306,163,76,42,45,279,192,179,17,125,37,127,411
26,Botswana,CAF,264,37,8,18,11,42,54,125,45,45,35,106,121,102,11,59,32,50,172
27,Brazil,CONMEBOL,991,328,217,56,55,746,300,346,253,23,70,875,261,317,163,79,75,544,331
29,Bulgaria,UEFA,663,69,21,29,19,77,113,254,128,67,59,462,290,340,96,160,84,395,582
30,Burkina Faso,CAF,390,92,27,40,25,104,124,118,63,19,36,187,110,180,33,99,48,153,299
34,Cameroon,CAF,533,186,76,52,58,243,203,145,92,15,38,260,98,202,62,69,71,227,253
35,Canada,CONCACAF,376,96,41,33,22,151,109,114,53,39,22,158,129,166,41,85,40,146,271
39,Chile,CONMEBOL,769,205,70,92,43,270,327,290,165,67,58,580,318,274,59,151,64,246,459
