,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent
0,1872-11-30,159.0,61.0,0.0,0.0,57.0,592.0,189.0,0.0,0.0,1872,3.0
1,1873-03-08,61.0,159.0,4.0,2.0,57.0,930.0,67.0,0.0,1.0,1873,3.0
2,1874-03-07,159.0,61.0,2.0,1.0,57.0,592.0,189.0,0.0,1.0,1874,3.0
3,1875-03-06,61.0,159.0,2.0,2.0,57.0,930.0,67.0,0.0,0.0,1875,3.0
4,1876-03-04,159.0,61.0,3.0,0.0,57.0,592.0,189.0,0.0,1.0,1876,3.0
5,1876-03-25,159.0,203.0,4.0,0.0,57.0,592.0,189.0,0.0,1.0,1876,3.0
6,1877-03-03,61.0,159.0,1.0,3.0,57.0,930.0,67.0,0.0,2.0,1877,3.0
7,1877-03-05,203.0,159.0,0.0,2.0,57.0,1800.0,242.0,0.0,2.0,1877,3.0
8,1878-03-02,159.0,61.0,7.0,2.0,57.0,592.0,189.0,0.0,1.0,1878,3.0
9,1878-03-23,159.0,203.0,9.0,0.0,57.0,592.0,189.0,0.0,1.0,1878,3.0
10,1879-01-18,61.0,203.0,2.0,1.0,57.0,930.0,67.0,0.0,1.0,1879,3.0
11,1879-04-05,61.0,159.0,5.0,4.0,57.0,930.0,67.0,0.0,1.0,1879,3.0
12,1879-04-07,203.0,159.0,0.0,3.0,57.0,1800.0,242.0,0.0,2.0,1879,3.0
13,1880-03-13,159.0,61.0,5.0,4.0,57.0,592.0,189.0,0.0,1.0,1880,3.0
14,1880-03-15,203.0,61.0,2.0,3.0,57.0,1800.0,242.0,0.0,2.0,1880,3.0
15,1880-03-27,159.0,203.0,5.0,1.0,57.0,592.0,189.0,0.0,1.0,1880,3.0
16,1881-02-26,61.0,203.0,0.0,1.0,57.0,225.0,67.0,0.0,2.0,1881,3.0
17,1881-03-12,61.0,159.0,1.0,6.0,57.0,930.0,67.0,0.0,2.0,1881,3.0
18,1881-03-14,203.0,159.0,1.0,5.0,57.0,1800.0,242.0,0.0,2.0,1881,3.0
19,1882-02-18,138.0,61.0,0.0,13.0,57.0,184.0,179.0,0.0,2.0,1882,3.0
20,1882-02-25,203.0,138.0,7.0,1.0,57.0,1800.0,242.0,0.0,1.0,1882,3.0
