,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent,total_score
0,1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,False,Draw,1872,Europe,0.0
1,1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,False,Home,1874,Europe,3.0
2,1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,False,Draw,1875,Europe,4.0
3,1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,False,Home,1876,Europe,3.0
4,1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,False,Away,1877,Europe,4.0
5,1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wrexham,Wales,False,Away,1877,Europe,2.0
6,1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,False,Home,1879,Europe,3.0
7,1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,False,Away,1879,Europe,3.0
8,1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,False,Away,1880,Europe,5.0
9,1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,False,Away,1881,Europe,1.0
10,1883-03-10,England,Scotland,2.0,3.0,Friendly,Sheffield,England,False,Away,1883,Europe,5.0
11,1883-03-12,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,False,Away,1883,Europe,3.0
12,1883-03-17,Northern Ireland,Wales,1.0,1.0,Friendly,Belfast,Republic of Ireland,False,Draw,1883,Europe,2.0
13,1884-03-15,Scotland,England,1.0,0.0,British Championship,Glasgow,Scotland,False,Home,1884,Europe,1.0
14,1884-03-17,Wales,England,0.0,4.0,British Championship,Wrexham,Wales,False,Away,1884,Europe,4.0
15,1885-03-14,England,Wales,1.0,1.0,British Championship,Blackburn,England,False,Draw,1885,Europe,2.0
16,1885-03-21,England,Scotland,1.0,1.0,British Championship,London,England,False,Draw,1885,Europe,2.0
17,1885-11-28,USA,Canada,0.0,1.0,Friendly,Newark,USA,False,Away,1885,America,1.0
18,1886-03-27,Scotland,England,1.0,1.0,British Championship,Glasgow,Scotland,False,Draw,1886,Europe,2.0
19,1886-03-29,Wales,England,1.0,3.0,British Championship,Wrexham,Wales,False,Away,1886,Europe,4.0
20,1886-11-25,USA,Canada,3.0,2.0,Friendly,Newark,USA,False,Home,1886,America,5.0
21,1887-03-19,England,Scotland,2.0,3.0,British Championship,Blackburn,England,False,Away,1887,Europe,5.0
22,1887-03-21,Wales,Scotland,0.0,2.0,British Championship,Wrexham,Wales,False,Away,1887,Europe,2.0
23,1889-04-13,England,Scotland,2.0,3.0,British Championship,London,England,False,Away,1889,Europe,5.0
24,1889-04-15,Wales,Scotland,0.0,0.0,British Championship,Wrexham,Wales,False,Draw,1889,Europe,0.0
25,1889-04-27,Northern Ireland,Wales,1.0,3.0,British Championship,Belfast,Republic of Ireland,False,Away,1889,Europe,4.0
26,1890-03-15,Wales,England,1.0,3.0,British Championship,Wrexham,Wales,False,Away,1890,Europe,4.0
27,1890-03-29,Northern Ireland,Scotland,1.0,4.0,British Championship,Belfast,Republic of Ireland,False,Away,1890,Europe,5.0
28,1890-04-05,Scotland,England,1.0,1.0,British Championship,Glasgow,Scotland,False,Draw,1890,Europe,2.0
29,1891-03-21,Wales,Scotland,3.0,4.0,British Championship,Wrexham,Wales,False,Away,1891,Europe,7.0
30,1891-03-28,Scotland,Northern Ireland,2.0,1.0,British Championship,Glasgow,Scotland,False,Home,1891,Europe,3.0
31,1891-04-06,England,Scotland,2.0,1.0,British Championship,Blackburn,England,False,Home,1891,Europe,3.0
32,1892-02-27,Wales,Northern Ireland,1.0,1.0,British Championship,Bangor,Wales,False,Draw,1892,Europe,2.0
33,1892-03-05,Northern Ireland,England,0.0,2.0,British Championship,Belfast,Republic of Ireland,False,Away,1892,Europe,2.0
34,1892-03-05,Wales,England,0.0,2.0,British Championship,Wrexham,Wales,False,Away,1892,Europe,2.0
35,1892-03-19,Northern Ireland,Scotland,2.0,3.0,British Championship,Belfast,Republic of Ireland,False,Away,1892,Europe,5.0
36,1892-04-02,Scotland,England,1.0,4.0,British Championship,Glasgow,Scotland,False,Away,1892,Europe,5.0
