,team,home_matches,away_matches,tot
0,Brazil,581,418,999
1,Argentina,557,439,996
2,Mexico,524,364,888
3,Germany,518,449,967
4,England,513,516,1029
5,Sweden,497,539,1036
6,France,493,364,857
7,South Korea,471,397,868
8,Hungary,464,484,948
9,Italy,456,364,820
10,United States,432,269,701
11,Austria,431,373,804
12,Netherlands,429,373,802
13,Belgium,422,364,786
14,Switzerland,414,401,815
15,Denmark,414,400,814
16,Norway,404,412,816
17,Chile,399,377,776
18,Poland,393,439,832
19,Scotland,387,408,795
20,Egypt,382,254,636
21,Japan,378,257,635
22,Saudi Arabia,375,256,631
23,Kenya,372,278,650
24,Spain,369,344,713
25,Uruguay,351,547,898
26,China PR,340,259,599
27,Malawi,338,236,574
28,Finland,336,425,761
29,Romania,335,371,706
30,Thailand,334,310,644
31,Indonesia,333,225,558
32,Kuwait,332,240,572
33,Portugal,332,298,630
34,Malaysia,331,275,606
35,Wales,330,343,673
36,Qatar,321,227,548
37,Northern Ireland,317,339,656
38,Republic of Ireland,315,263,578
39,Trinidad and Tobago,310,366,676
40,Costa Rica,309,309,618
41,Zambia,307,428,735
42,Russia,307,403,710
43,Tunisia,305,283,588
44,Bulgaria,305,380,685
45,United Arab Emirates,302,229,531
46,Bahrain,298,202,500
47,Algeria,296,217,513
48,Australia,296,225,521
49,Singapore,295,265,560
50,Greece,295,282,577
51,Jamaica,290,282,572
52,Uganda,289,338,627
53,Ghana,288,318,606
54,Morocco,288,253,541
55,El Salvador,288,226,514
56,Peru,287,353,640
57,Iran,284,222,506
58,Turkey,281,303,584
59,Iraq,278,279,557
60,Ivory Coast,275,296,571
61,Honduras,274,252,526
62,Oman,273,185,458
63,Nigeria,272,311,583
64,Paraguay,268,461,729
65,Colombia,267,297,564
66,Tanzania,266,270,536
67,Cameroon,259,281,540
68,Israel,248,191,439
69,Hong Kong,246,146,392
70,Estonia,246,248,494
71,Guatemala,244,212,456
72,India,241,168,409
73,Bolivia,241,231,472
74,Ecuador,240,287,527
75,South Africa,240,178,418
76,Haiti,232,227,459
77,Czechoslovakia,230,267,497
78,Luxembourg,229,186,415
79,Senegal,228,312,540
80,Malta,226,184,410
81,Mali,219,286,505
82,Burma,217,124,341
83,Jordan,217,189,406
84,Ethiopia,216,150,366
85,Iceland,213,247,460
86,Cyprus,209,166,375
87,Panama,203,240,443
88,Guinea,201,272,473
89,Latvia,197,213,410
90,DR Congo,195,273,468
91,Zimbabwe,192,274,466
92,Congo,192,187,379
93,Yugoslavia,190,291,481
94,Libya,187,154,341
95,Gabon,187,175,362
96,Burkina Faso,187,207,394
97,Albania,180,164,344
98,Angola,175,187,362
99,Canada,175,217,392
100,Sudan,174,230,404
101,Venezuela,169,224,393
102,Croatia,162,174,336
103,Barbados,162,106,268
104,Curaçao,162,176,338
105,Lithuania,159,222,381
106,Suriname,158,197,355
107,Botswana,157,131,288
108,Togo,156,235,391
109,Martinique,153,154,307
110,Mozambique,152,168,320
111,Czech Republic,151,164,315
112,Syria,148,263,411
113,Fiji,146,75,221
114,New Zealand,145,217,362
115,Cuba,142,200,342
116,Ukraine,142,144,286
117,Guyana,140,129,269
118,Slovakia,139,166,305
119,Lebanon,139,141,280
120,Liberia,136,114,250
121,Benin,133,130,263
122,New Caledonia,133,94,227
123,German DR,132,166,298
124,Lesotho,132,125,257
125,Rwanda,131,117,248
126,Slovenia,128,132,260
127,Cambodia,127,101,228
128,Guadeloupe,127,114,241
129,North Korea,126,214,340
130,North Macedonia,125,126,251
131,Uzbekistan,125,159,284
132,Gambia,124,95,219
133,Azerbaijan,121,137,258
134,Belarus,121,141,262
135,Vietnam,120,86,206
136,Bangladesh,120,96,216
137,Faroe Islands,119,118,237
138,Eswatini,119,120,239
139,Madagascar,119,108,227
140,Georgia,114,138,252
141,Serbia,112,175,287
142,Namibia,111,129,240
143,Bosnia and Herzegovina,111,121,232
144,Antigua and Barbuda,111,89,200
145,Sierra Leone,109,147,256
146,Grenada,109,110,219
147,Armenia,109,112,221
148,Mauritius,107,143,250
149,Moldova,106,141,247
150,Saint Kitts and Nevis,106,79,185
151,Philippines,103,132,235
152,Yemen,102,128,230
153,Liechtenstein,100,109,209
154,Niger,99,113,212
155,Dominica,99,87,186
156,Kazakhstan,97,111,208
157,Tahiti,94,116,210
158,Cape Verde,92,79,171
159,Mauritania,92,126,218
160,Sri Lanka,92,111,203
161,Saint Lucia,92,107,199
162,Nepal,91,95,186
163,Bermuda,91,67,158
164,Andorra,91,86,177
165,San Marino,88,86,174
166,Burundi,84,107,191
167,Maldives,81,81,162
168,Guinea-Bissau,76,73,149
169,Solomon Islands,76,94,170
170,Pakistan,74,116,190
171,Laos,73,90,163
172,Palestine,72,119,191
173,French Guiana,71,88,159
174,Equatorial Guinea,69,63,132
175,Dominican Republic,67,52,119
176,Montenegro,64,56,120
177,Saint Vincent and the Grenadines,63,88,151
178,Vanuatu,63,111,174
179,Tajikistan,62,91,153
180,Aruba,62,62,124
181,Macau,62,66,128
182,Chad,60,58,118
183,Kyrgyzstan,60,89,149
184,Gibraltar,59,50,109
185,Turkmenistan,58,82,140
186,Zanzibar,58,147,205
187,Cayman Islands,57,38,95
188,Puerto Rico,55,68,123
189,Papua New Guinea,55,61,116
190,Central African Republic,54,46,100
191,Seychelles,51,62,113
192,Nicaragua,51,110,161
193,Jersey,48,34,82
194,Vietnam Republic,48,105,153
195,Guam,46,55,101
196,Somalia,44,65,109
197,Djibouti,42,48,90
198,British Virgin Islands,41,54,95
199,Réunion,41,40,81
200,Afghanistan,41,75,116
201,Catalonia,39,9,48
202,Guernsey,37,40,77
203,Belize,35,47,82
204,Kosovo,34,19,53
205,Basque Country,33,25,58
206,Samoa,32,19,51
207,Greenland,30,43,73
208,Comoros,30,33,63
209,Ynys Môn,29,32,61
210,Padania,28,15,43
211,Åland Islands,27,19,46
212,Bhutan,27,54,81
213,Mongolia,26,50,76
214,Isle of Wight,26,18,44
215,Eritrea,26,46,72
216,Brunei,26,47,73
217,United States Virgin Islands,24,34,58
218,American Samoa,24,24,48
219,Taiwan,23,129,152
220,Tonga,23,33,56
221,South Sudan,23,25,48
222,Shetland,22,29,51
223,Isle of Man,22,27,49
224,São Tomé and Príncipe,22,26,48
225,Anguilla,22,43,65
226,Northern Cyprus,21,13,34
227,Bahamas,20,21,41
228,Gotland,20,10,30
229,Sápmi,18,8,26
230,Abkhazia,18,10,28
231,Saint Martin,18,26,44
232,Montserrat,17,28,45
233,Cook Islands,17,26,43
234,Sint Maarten,17,17,34
235,Saare County,15,20,35
236,East Timor,15,36,51
237,Iraqi Kurdistan,13,14,27
238,Andalusia,12,1,13
239,Frøya,12,18,30
240,Orkney,12,9,21
241,Western Isles,11,17,28
242,Falkland Islands,11,18,29
243,Tuvalu,11,23,34
244,Barawa,11,1,12
245,Rhodes,11,7,18
246,Turks and Caicos Islands,11,19,30
247,Menorca,11,10,21
248,Northern Mariana Islands,10,14,24
249,Myanmar,9,9,18
250,Székely Land,9,14,23
251,Brittany,9,3,12
252,Occitania,9,9,18
253,Provence,8,9,17
254,United Koreans in Japan,8,3,11
255,Bonaire,8,13,21
256,Ellan Vannin,8,9,17
257,Hitra,8,11,19
258,Silesia,8,0,8
259,Kernow,8,3,11
260,Corsica,8,1,9
261,Artsakh,7,4,11
262,Tamil Eelam,7,10,17
263,South Ossetia,7,7,14
264,Galicia,7,2,9
265,Alderney,7,12,19
266,Mayotte,6,12,18
267,Saarland,6,3,9
268,Kárpátalja,5,5,10
269,Kiribati,5,6,11
270,Chagos Islands,5,6,11
271,Yorkshire,5,2,7
272,Western Armenia,5,11,16
273,North Vietnam,5,19,24
274,Tibet,4,9,13
275,County of Nice,4,5,9
276,Canary Islands,4,0,4
277,Monaco,4,8,12
278,Republic of St. Pauli,4,0,4
279,Darfur,4,3,7
280,Panjab,4,8,12
281,Timor-Leste,3,6,9
282,Wallis Islands and Futuna,3,21,24
283,Western Sahara,3,2,5
284,Gozo,3,3,6
285,Arameans Suryoye,3,7,10
286,Găgăuzia,3,0,3
287,Parishes of Jersey,2,1,3
288,Manchukuo,2,1,3
289,Matabeleland,2,3,5
290,Yemen DPR,2,22,24
291,Niue,2,0,2
292,Palau,2,0,2
293,Micronesia,2,5,7
294,Cascadia,2,5,7
295,Somaliland,2,3,5
296,Felvidék,2,6,8
297,Raetia,2,6,8
298,Vatican City,2,4,6
299,Central Spain,1,1,2
300,Chameria,1,4,5
301,Saint Pierre and Miquelon,1,6,7
302,Sark,1,3,4
303,Kabylia,1,5,6
304,Madrid,1,0,1
