,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,day_of_week,month,year
1618,Silesia,Poland,1,2,Friendly,Katowice,Poland,False,A,Wednesday,October,1933
1993,Silesia,Basque Country,3,4,Friendly,Chorzów,Poland,False,A,Wednesday,June,1937
2834,Silesia,Czechoslovakia,2,1,Friendly,Chorzów,Poland,False,H,Tuesday,April,1948
3379,Silesia,China PR,5,1,Friendly,Chorzów,Poland,False,H,Sunday,August,1952
3487,Silesia,Poland,2,3,Friendly,Chorzów,Poland,False,A,Sunday,April,1953
3539,Silesia,Poland,3,3,Friendly,Byton,Poland,False,D,Sunday,September,1953
9077,Silesia,Tanzania,7,2,Friendly,Chorzów,Poland,False,H,Monday,July,1974
12725,Niue,Tahiti,0,14,South Pacific Games,Apia,Western Samoa,True,A,Saturday,August,1983
12730,Niue,Papua New Guinea,0,19,South Pacific Games,Apia,Western Samoa,True,A,Monday,August,1983
14466,Palau,Vanuatu,2,6,Friendly,Adelaide,Australia,True,A,Friday,March,1987
19406,Canary Islands,Venezuela,5,1,Friendly,Las Palmas,Spain,False,H,Tuesday,February,1996
21445,Palau,Guam,2,15,Friendly,Koror,Palau,False,A,Saturday,August,1998
21727,Canary Islands,Latvia,4,0,Friendly,Las Palmas,Spain,False,H,Tuesday,December,1998
24788,Canary Islands,Venezuela,0,2,Friendly,Las Palmas,Spain,False,A,Friday,May,2002
28339,Republic of St. Pauli,Gibraltar,1,1,FIFI Wild Cup,Hamburg,Germany,False,D,Monday,May,2006
28349,Republic of St. Pauli,Tibet,7,0,FIFI Wild Cup,Hamburg,Germany,False,H,Tuesday,May,2006
28362,Republic of St. Pauli,Zanzibar,1,2,FIFI Wild Cup,Hamburg,Germany,False,A,Thursday,June,2006
28377,Republic of St. Pauli,Gibraltar,1,2,FIFI Wild Cup,Hamburg,Germany,False,A,Saturday,June,2006
28845,Găgăuzia,Greenland,0,2,ELF Cup,Kyrenia,Northern Cyprus,True,A,Sunday,November,2006
28851,Găgăuzia,Kyrgyzstan,1,6,ELF Cup,Gazimağusa,Northern Cyprus,True,A,Monday,November,2006
28858,Găgăuzia,Zanzibar,1,1,ELF Cup,Kyrenia,Northern Cyprus,True,D,Tuesday,November,2006
28898,Silesia,Poland,1,1,Friendly,Chorzów,Poland,False,D,Saturday,December,2006
29900,Canary Islands,Angola,2,0,Friendly,Las Palmas,Spain,False,H,Saturday,December,2007
35232,Madrid,Andalusia,1,2,Friendly,Madrid,Spain,False,A,Friday,June,2013
