,team,confederation,games,home_games,away_games,neutral_games,wins,home_wins,away_wins,neutral_wins,defeats,home_defeats,away_defeats,neutral_defeats,draws,home_draws,away_draws,neutral_draws,goals_scored,home_goals_scored,away_goals_scored,neutral_goals_scored,goals_conceded,home_goals_conceded,away_goals_conceded,neutral_goals_conceded
0,Afghanistan,AFC,110,6,43,61,28,2,3,23,58,3,31,24,24,1,9,14,115,6,24,85,227,9,105,113
1,Albania,UEFA,341,158,160,23,90,58,24,8,180,63,107,10,71,37,29,5,317,178,115,24,527,179,319,29
2,Algeria,CAF,506,190,176,140,218,122,40,56,149,25,78,46,139,43,58,38,719,381,142,196,511,143,221,147
3,American Samoa,OFC,38,0,10,28,4,0,1,3,33,0,9,24,1,0,0,1,24,0,5,19,281,0,77,204
4,Andorra,UEFA,176,71,80,25,6,5,0,1,148,58,73,17,22,8,7,7,49,26,18,5,457,159,250,48
5,Angola,CAF,345,120,141,84,117,67,29,21,108,17,61,30,120,36,51,33,387,181,118,88,369,89,177,103
6,Anguilla,CONCACAF,46,11,22,13,1,0,1,0,41,10,19,12,4,1,2,1,22,3,13,6,216,30,108,78
7,Antigua and Barbuda,CONCACAF,149,67,55,27,52,31,11,10,70,27,32,11,27,9,12,6,219,101,69,49,261,86,128,47
8,Argentina,CONMEBOL,989,335,382,272,530,220,146,164,212,31,128,53,247,84,108,55,1842,716,549,577,1036,259,488,289
9,Armenia,UEFA,219,89,100,30,56,28,18,10,117,39,67,11,46,22,15,9,224,101,81,42,375,129,202,44
10,Aruba,CONCACAF,99,39,40,20,19,13,3,3,58,16,28,14,22,10,9,3,134,62,42,30,241,72,112,57
11,Australia,AFC,497,214,183,100,238,119,74,45,147,54,63,30,112,41,46,25,957,495,278,184,557,238,200,119
12,Austria,UEFA,791,398,350,43,332,206,112,14,289,116,153,20,170,76,85,9,1411,801,554,56,1239,517,655,67
13,Azerbaijan,UEFA,252,87,123,42,46,23,15,8,139,38,85,16,67,26,23,18,179,78,71,30,418,108,268,42
14,Bahamas,CONCACAF,37,15,14,8,10,5,2,3,21,4,12,5,6,6,0,0,45,26,8,11,117,22,67,28
15,Bahrain,AFC,488,175,123,190,162,71,28,63,186,53,60,73,140,51,35,54,588,246,110,232,622,184,195,243
16,Bangladesh,AFC,194,54,58,82,46,26,7,13,104,16,40,48,44,12,11,21,167,69,26,72,387,60,154,173
17,Barbados,CONCACAF,228,114,78,36,78,47,19,12,97,33,45,19,53,34,14,5,294,156,81,57,353,132,154,67
18,Belarus,UEFA,247,95,130,22,74,34,34,6,110,34,70,6,63,27,26,10,289,125,140,24,357,118,220,19
19,Belgium,UEFA,774,375,330,69,343,201,110,32,268,101,143,24,163,73,77,13,1386,788,493,105,1192,503,603,86
20,Belize,CONCACAF,76,22,26,28,16,10,2,4,49,9,21,19,11,3,3,5,81,35,16,30,158,27,71,60
21,Benin,CAF,244,94,110,40,54,32,14,8,128,32,73,23,62,30,23,9,243,114,91,38,438,117,250,71
22,Bermuda,CONCACAF,142,71,53,18,45,27,12,6,70,27,32,11,27,17,9,1,212,111,70,31,246,107,105,34
23,Bhutan,AFC,78,14,30,34,7,5,1,1,68,8,28,32,3,1,1,1,44,21,8,15,322,27,161,134
24,Bolivia,CONMEBOL,469,163,179,127,103,76,17,10,252,42,125,85,114,45,37,32,486,279,127,80,909,192,411,306
25,Bosnia and Herzegovina,UEFA,231,92,110,29,88,41,37,10,90,26,51,13,53,25,22,6,330,150,143,37,311,98,173,40
26,Botswana,CAF,259,125,102,32,62,45,11,6,122,45,59,18,75,35,32,8,192,106,50,36,344,121,172,51
27,Brazil,CONMEBOL,986,346,315,325,628,253,161,214,158,23,79,56,200,70,75,55,2150,875,540,735,891,261,331,299
28,British Virgin Islands,CONCACAF,66,24,23,19,13,8,2,3,43,12,17,14,10,4,4,2,60,34,9,17,205,44,96,65
29,Bulgaria,UEFA,660,254,337,69,244,128,95,21,254,67,158,29,162,59,84,19,931,462,392,77,980,290,577,113
30,Burkina Faso,CAF,369,118,161,90,116,63,26,27,151,19,92,40,102,36,43,23,410,187,121,102,499,110,267,122
31,Burundi,CAF,184,48,74,62,57,18,14,25,82,14,45,23,45,16,15,14,200,50,70,80,238,40,136,62
32,Cabo Verde,CAF,168,55,65,48,60,29,15,16,71,15,39,17,37,11,11,15,173,79,49,45,196,48,95,53
33,Cambodia,AFC,178,52,57,69,32,15,2,15,123,29,50,44,23,8,5,10,176,67,32,77,489,89,220,180
34,Cameroon,CAF,526,145,196,185,228,92,60,76,132,15,65,52,166,38,71,57,726,260,223,243,546,98,245,203
35,Canada,CONCACAF,376,114,166,96,135,53,41,41,157,39,85,33,84,22,40,22,455,158,146,151,509,129,271,109
36,Cayman Islands,CONCACAF,78,38,22,18,15,9,1,5,54,22,20,12,9,7,1,1,72,39,11,22,205,85,73,47
37,Central African Republic,CAF,100,27,44,29,20,11,2,7,58,8,35,15,22,8,7,7,104,35,30,39,199,30,111,58
38,Chad,CAF,118,35,48,35,25,12,6,7,65,15,33,17,28,8,9,11,106,45,25,36,206,52,101,53
39,Chile,CONMEBOL,768,290,274,204,294,165,59,70,310,67,151,92,164,58,64,42,1096,580,246,270,1104,318,459,327
40,China PR,AFC,568,219,187,162,268,128,63,77,167,42,74,51,133,49,50,34,997,456,233,308,612,216,224,172
41,Colombia,CONMEBOL,562,158,202,202,218,83,53,82,188,40,79,69,156,35,70,51,691,241,197,253,664,138,258,268
42,Comoros,CAF,61,19,22,20,9,3,2,4,33,7,17,9,19,9,3,7,38,10,9,19,91,16,43,32
43,Congo,CAF,358,144,145,69,126,67,28,31,141,36,80,25,91,41,37,13,453,218,137,98,481,147,246,88
44,Congo DR,CAF,401,80,199,122,142,51,49,42,145,13,86,46,114,16,64,34,568,165,247,156,530,66,303,161
45,Cook Islands,OFC,31,4,8,19,5,2,2,1,22,1,5,16,4,1,1,2,24,8,8,8,109,11,30,68
46,Costa Rica,CONCACAF,603,202,225,176,253,127,50,76,195,29,112,54,155,46,63,46,971,433,243,295,711,156,352,203
47,Croatia,UEFA,336,134,144,58,175,89,60,26,73,13,41,19,88,32,43,13,581,289,205,87,346,101,178,67
