,Unnamed: 0,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,is_valid
0,0,1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,False,Draw,1872,True
1,1,1873-03-08,England,Scotland,4.0,2.0,Friendly,London,England,False,Home,1873,True
2,2,1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,False,Home,1874,True
3,3,1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,False,Draw,1875,True
4,4,1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,False,Home,1876,True
5,5,1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Glasgow,Scotland,False,Home,1876,True
6,6,1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,False,Away,1877,True
7,7,1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wrexham,Wales,False,Away,1877,True
8,8,1878-03-02,Scotland,England,7.0,2.0,Friendly,Glasgow,Scotland,False,Home,1878,True
9,9,1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Glasgow,Scotland,False,Home,1878,True
10,10,1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,False,Home,1879,True
11,11,1879-04-05,England,Scotland,5.0,4.0,Friendly,London,England,False,Home,1879,True
12,12,1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,False,Away,1879,True
13,13,1880-03-13,Scotland,England,5.0,4.0,Friendly,Glasgow,Scotland,False,Home,1880,True
14,14,1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,False,Away,1880,True
15,15,1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Glasgow,Scotland,False,Home,1880,True
16,16,1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,False,Away,1881,True
17,17,1881-03-12,England,Scotland,1.0,6.0,Friendly,London,England,False,Away,1881,True
18,18,1881-03-14,Wales,Scotland,1.0,5.0,Friendly,Wrexham,Wales,False,Away,1881,True
19,19,1882-02-18,Northern Ireland,England,0.0,13.0,Friendly,Belfast,Republic of Ireland,False,Away,1882,True
20,20,1882-02-25,Wales,Northern Ireland,7.0,1.0,Friendly,Wrexham,Wales,False,Home,1882,True
21,21,1882-03-11,Scotland,England,5.0,1.0,Friendly,Glasgow,Scotland,False,Home,1882,True
22,22,1882-03-13,Wales,England,5.0,3.0,Friendly,Wrexham,Wales,False,Home,1882,True
23,23,1882-03-25,Scotland,Wales,5.0,0.0,Friendly,Glasgow,Scotland,False,Home,1882,True
24,24,1883-02-03,England,Wales,5.0,0.0,Friendly,London,England,False,Home,1883,True
25,25,1883-02-24,England,Northern Ireland,7.0,0.0,Friendly,Liverpool,England,False,Home,1883,True
26,26,1883-03-10,England,Scotland,2.0,3.0,Friendly,Sheffield,England,False,Away,1883,True
27,27,1883-03-12,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,False,Away,1883,True
28,28,1883-03-17,Northern Ireland,Wales,1.0,1.0,Friendly,Belfast,Republic of Ireland,False,Draw,1883,True
29,29,1884-01-26,Northern Ireland,Scotland,0.0,5.0,British Championship,Belfast,Republic of Ireland,False,Away,1884,True
30,30,1884-02-09,Wales,Northern Ireland,6.0,0.0,British Championship,Wrexham,Wales,False,Home,1884,True
31,31,1884-02-23,Northern Ireland,England,1.0,8.0,British Championship,Belfast,Republic of Ireland,False,Away,1884,True
32,32,1884-03-15,Scotland,England,1.0,0.0,British Championship,Glasgow,Scotland,False,Home,1884,True
33,33,1884-03-17,Wales,England,0.0,4.0,British Championship,Wrexham,Wales,False,Away,1884,True
34,34,1884-03-29,Scotland,Wales,4.0,1.0,British Championship,Glasgow,Scotland,False,Home,1884,True
35,35,1885-02-28,England,Northern Ireland,4.0,0.0,British Championship,Manchester,England,False,Home,1885,True
36,36,1885-03-14,England,Wales,1.0,1.0,British Championship,Blackburn,England,False,Draw,1885,True
37,37,1885-03-14,Scotland,Northern Ireland,8.0,2.0,British Championship,Glasgow,Scotland,False,Home,1885,True
38,38,1885-03-21,England,Scotland,1.0,1.0,British Championship,London,England,False,Draw,1885,True
39,39,1885-03-23,Wales,Scotland,1.0,8.0,British Championship,Wrexham,Wales,False,Away,1885,True
40,40,1885-04-11,Northern Ireland,Wales,2.0,8.0,British Championship,Belfast,Republic of Ireland,False,Away,1885,True
41,41,1885-11-28,USA,Canada,0.0,1.0,Friendly,Newark,USA,False,Away,1885,True
42,42,1886-02-27,Wales,Northern Ireland,5.0,0.0,British Championship,Wrexham,Wales,False,Home,1886,True
43,43,1886-03-13,Northern Ireland,England,1.0,6.0,British Championship,Belfast,Republic of Ireland,False,Away,1886,True
44,44,1886-03-20,Northern Ireland,Scotland,2.0,7.0,British Championship,Belfast,Republic of Ireland,False,Away,1886,True
45,45,1886-03-27,Scotland,England,1.0,1.0,British Championship,Glasgow,Scotland,False,Draw,1886,True
46,46,1886-03-29,Wales,England,1.0,3.0,British Championship,Wrexham,Wales,False,Away,1886,True
47,47,1886-04-10,Scotland,Wales,4.0,1.0,British Championship,Glasgow,Scotland,False,Home,1886,True
48,48,1886-11-25,USA,Canada,3.0,2.0,Friendly,Newark,USA,False,Home,1886,True
49,49,1887-02-05,England,Northern Ireland,7.0,0.0,British Championship,Sheffield,England,False,Home,1887,True
50,50,1887-02-19,Scotland,Northern Ireland,4.0,1.0,British Championship,Glasgow,Scotland,False,Home,1887,True
51,51,1887-02-26,England,Wales,4.0,0.0,British Championship,London,England,False,Home,1887,True
52,52,1887-03-12,Northern Ireland,Wales,4.0,1.0,British Championship,Belfast,Republic of Ireland,False,Home,1887,True
53,53,1887-03-19,England,Scotland,2.0,3.0,British Championship,Blackburn,England,False,Away,1887,True
54,54,1887-03-21,Wales,Scotland,0.0,2.0,British Championship,Wrexham,Wales,False,Away,1887,True
55,55,1888-02-04,England,Wales,5.0,1.0,British Championship,Crewe,England,False,Home,1888,True
56,56,1888-03-03,Wales,Northern Ireland,11.0,0.0,British Championship,Wrexham,Wales,False,Home,1888,True
57,57,1888-03-10,Scotland,Wales,5.0,1.0,British Championship,Edinburgh,Scotland,False,Home,1888,True
58,58,1888-03-17,Scotland,England,0.0,5.0,British Championship,Glasgow,Scotland,False,Away,1888,True
59,59,1888-03-24,Northern Ireland,Scotland,2.0,10.0,British Championship,Belfast,Republic of Ireland,False,Away,1888,True
60,60,1888-04-07,Northern Ireland,England,1.0,5.0,British Championship,Belfast,Republic of Ireland,False,Away,1888,True
61,61,1888-09-19,Scotland,Canada,4.0,0.0,Friendly,Glasgow,Scotland,False,Home,1888,True
62,62,1889-02-23,England,Wales,4.0,1.0,British Championship,Stoke-on-Trent,England,False,Home,1889,True
63,63,1889-03-02,England,Northern Ireland,6.0,1.0,British Championship,Liverpool,England,False,Home,1889,True
64,64,1889-03-09,Scotland,Northern Ireland,7.0,0.0,British Championship,Glasgow,Scotland,False,Home,1889,True
65,65,1889-04-13,England,Scotland,2.0,3.0,British Championship,London,England,False,Away,1889,True
66,66,1889-04-15,Wales,Scotland,0.0,0.0,British Championship,Wrexham,Wales,False,Draw,1889,True
67,67,1889-04-27,Northern Ireland,Wales,1.0,3.0,British Championship,Belfast,Republic of Ireland,False,Away,1889,True
68,68,1890-02-08,Wales,Northern Ireland,5.0,2.0,British Championship,Shrewsbury,England,True,Home,1890,True
69,69,1890-03-15,Northern Ireland,England,1.0,9.0,British Championship,Belfast,Republic of Ireland,False,Away,1890,True
70,70,1890-03-15,Wales,England,1.0,3.0,British Championship,Wrexham,Wales,False,Away,1890,True
71,71,1890-03-22,Scotland,Wales,5.0,0.0,British Championship,Paisley,Scotland,False,Home,1890,True
72,72,1890-03-29,Northern Ireland,Scotland,1.0,4.0,British Championship,Belfast,Republic of Ireland,False,Away,1890,True
73,73,1890-04-05,Scotland,England,1.0,1.0,British Championship,Glasgow,Scotland,False,Draw,1890,True
74,74,1891-02-07,Northern Ireland,Wales,7.0,2.0,British Championship,Belfast,Republic of Ireland,False,Home,1891,True
75,75,1891-03-07,England,Wales,4.0,1.0,British Championship,Sunderland,England,False,Home,1891,True
76,76,1891-03-07,England,Northern Ireland,6.0,1.0,British Championship,Wolverhampton,England,False,Home,1891,True
77,77,1891-03-21,Wales,Scotland,3.0,4.0,British Championship,Wrexham,Wales,False,Away,1891,True
78,78,1891-03-28,Scotland,Northern Ireland,2.0,1.0,British Championship,Glasgow,Scotland,False,Home,1891,True
79,79,1891-04-06,England,Scotland,2.0,1.0,British Championship,Blackburn,England,False,Home,1891,True
80,80,1892-02-27,Wales,Northern Ireland,1.0,1.0,British Championship,Bangor,Wales,False,Draw,1892,True
81,81,1892-03-05,Northern Ireland,England,0.0,2.0,British Championship,Belfast,Republic of Ireland,False,Away,1892,True
82,82,1892-03-05,Wales,England,0.0,2.0,British Championship,Wrexham,Wales,False,Away,1892,True
