,Unnamed: 0.1,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,is_valid,continent
0,0,1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,0.0,0.0,1872,True,Europe
1,2,1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,0.0,1.0,1874,True,Europe
2,3,1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,0.0,0.0,1875,True,Europe
3,4,1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,0.0,1.0,1876,True,Europe
4,6,1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,0.0,2.0,1877,True,Europe
5,7,1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wrexham,Wales,0.0,2.0,1877,True,Europe
6,10,1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,0.0,1.0,1879,True,Europe
7,12,1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,0.0,2.0,1879,True,Europe
8,14,1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,0.0,2.0,1880,True,Europe
9,16,1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,0.0,2.0,1881,True,Europe
10,26,1883-03-10,England,Scotland,2.0,3.0,Friendly,Sheffield,England,0.0,2.0,1883,True,Europe
11,27,1883-03-12,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,0.0,2.0,1883,True,Europe
12,28,1883-03-17,Northern_Ireland,Wales,1.0,1.0,Friendly,Belfast,Republic_of_Ireland,0.0,0.0,1883,True,Europe
13,32,1884-03-15,Scotland,England,1.0,0.0,British_Championship,Glasgow,Scotland,0.0,1.0,1884,True,Europe
14,33,1884-03-17,Wales,England,0.0,4.0,British_Championship,Wrexham,Wales,0.0,2.0,1884,True,Europe
15,36,1885-03-14,England,Wales,1.0,1.0,British_Championship,Blackburn,England,0.0,0.0,1885,True,Europe
16,38,1885-03-21,England,Scotland,1.0,1.0,British_Championship,London,England,0.0,0.0,1885,True,Europe
17,41,1885-11-28,USA,Canada,0.0,1.0,Friendly,Newark,USA,0.0,2.0,1885,True,America
18,45,1886-03-27,Scotland,England,1.0,1.0,British_Championship,Glasgow,Scotland,0.0,0.0,1886,True,Europe
19,46,1886-03-29,Wales,England,1.0,3.0,British_Championship,Wrexham,Wales,0.0,2.0,1886,True,Europe
