,name,label
0,Afghanistan,0
1,Albania,1
2,Algeria,2
3,Andorra,3
4,Angola,4
5,Anguilla,5
6,Antigua_and_Barbuda,6
7,Argentina,7
8,Armenia,8
9,Aruba,9
10,Australia,10
11,Austria,11
12,Azerbaijan,12
13,Bahamas,13
14,Bahrain,14
15,Bangladesh,15
16,Barbados,16
17,Belarus,17
18,Belgium,18
19,Belize,19
20,Benin,20
21,Bermuda,21
22,Bhutan,22
23,Bolivia,23
24,Bosnia_and_Herzegovina,24
25,Botswana,25
26,Brazil,26
27,British_Virgin_Islands,27
28,Bulgaria,28
29,Burkina_Faso,29
30,Burma,30
31,Burundi,31
32,Cabo_Verde,32
33,Cambodia,33
34,Cameroon,34
35,Canada,35
36,Cayman_Islands,36
37,Central_African_Republic,37
38,Chad,38
39,Chile,39
40,China_PR,40
41,Colombia,41
42,Comoros,42
43,Congo,43
44,Congo_DR,44
45,Costa_Rica,45
46,Croatia,46
47,Cuba,47
48,Curaçao,48
49,Cyprus,49
50,Czech_Republic,50
51,Côte_d'Ivoire,51
52,Denmark,52
53,Djibouti,53
54,Dominica,54
55,Dominican_Republic,55
56,Ecuador,56
57,Egypt,57
58,El_Salvador,58
59,England,59
60,Equatorial_Guinea,60
61,Eritrea,61
62,Estonia,62
63,Eswatini,63
64,Ethiopia,64
65,Faroe_Islands,65
66,Fiji,66
67,Finland,67
68,France,68
69,French_Polynesia,69
70,Gabon,70
71,Gambia,71
72,Georgia,72
73,Germany,73
74,Ghana,74
75,Gibraltar,75
76,Greece,76
77,Grenada,77
78,Guadeloupe,78
79,Guam,79
80,Guatemala,80
81,Guinea,81
82,Guinea-Bissau,82
83,Guyana,83
84,Haiti,84
85,Honduras,85
86,Hong_Kong,86
87,Hungary,87
88,IR_Iran,88
89,Iceland,89
90,India,90
91,Indonesia,91
92,Iraq,92
93,Israel,93
94,Italy,94
95,Jamaica,95
96,Japan,96
97,Jordan,97
98,Kazakhstan,98
99,Kenya,99
100,Korea_DPR,100
101,Korea_Republic,101
102,Kosovo,102
103,Kuwait,103
104,Kyrgyzstan,104
105,Laos,105
106,Latvia,106
107,Lebanon,107
108,Lesotho,108
109,Liberia,109
110,Libya,110
111,Liechtenstein,111
112,Lithuania,112
113,Luxembourg,113
114,Macau,114
115,Madagascar,115
116,Malawi,116
117,Malaysia,117
118,Maldives,118
119,Mali,119
120,Malta,120
121,Martinique,121
122,Mauritania,122
123,Mauritius,123
124,Mexico,124
125,Moldova,125
126,Monaco,126
127,Mongolia,127
128,Montenegro,128
129,Montserrat,129
130,Morocco,130
131,Mozambique,131
132,Myanmar,132
133,Namibia,133
134,Nepal,134
135,Netherlands,135
136,Netherlands_Antilles,136
137,New_Caledonia,137
138,New_Zealand,138
139,Nicaragua,139
140,Niger,140
141,Nigeria,141
142,North_Macedonia,142
143,Northern_Ireland,143
144,Norway,144
145,Oman,145
146,Pakistan,146
147,Palestine,147
148,Panama,148
149,Papua_New_Guinea,149
150,Paraguay,150
151,Peru,151
152,Philippines,152
153,Poland,153
154,Portugal,154
155,Puerto_Rico,155
156,Qatar,156
157,Republic_of_Ireland,157
158,Romania,158
159,Russia,159
160,Rwanda,160
161,Réunion,161
162,Saint_Martin,162
163,Samoa,163
164,San_Marino,164
165,Saudi_Arabia,165
166,Scotland,166
167,Senegal,167
168,Serbia,168
169,Serbia_and_Montenegro,169
170,Seychelles,170
171,Sierra_Leone,171
172,Singapore,172
173,Slovakia,173
174,Slovenia,174
175,Solomon_Islands,175
176,South_Africa,176
177,South_Sudan,177
178,Spain,178
179,Sri_Lanka,179
180,St._Kitts_and_Nevis,180
181,St._Lucia,181
182,St._Vincent_/_Grenadines,182
183,Sudan,183
184,Suriname,184
185,Sweden,185
186,Switzerland,186
187,Syria,187
188,São_Tomé_and_Príncipe,188
189,Tahiti,189
190,Taiwan,190
191,Tajikistan,191
192,Tanzania,192
193,Thailand,193
194,Togo,194
195,Tonga,195
196,Trinidad_and_Tobago,196
197,Tunisia,197
198,Turkey,198
199,Turkmenistan,199
200,Turks_and_Caicos_Islands,200
201,USA,201
202,US_Virgin_Islands,202
203,Uganda,203
204,Ukraine,204
205,United_Arab_Emirates,205
206,Uruguay,206
207,Uzbekistan,207
208,Vanuatu,208
209,Venezuela,209
210,Vietnam,210
211,Wales,211
212,Yemen,212
213,Yugoslavia,213
214,Zambia,214
215,Zimbabwe,215
